element_id	group_key	slots	max_confidence
495055	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495060	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495502	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495504	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495510	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495512	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495518	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495520	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495526	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495528	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495534	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495536	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495542	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495544	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495550	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495552	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495558	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495560	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
495566	estructura|Structural Columns|H_Ala ancha-Pilar|HE300A||ref|test:nivel_3__st	4	1.0
