element_id,category,family,type,btz_01,btz_02,btz_03,btz_04
164153,Cubiertas,,Genérico - 400 mm,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 5,
166752,Cubiertas,,Genérico - 400 mm,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-PORTERIA,
168183,Cubiertas,,Genérico - 400 mm,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,
170458,Cubiertas,,Genérico - 400 mm,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV5,
171843,Modelos genéricos,silos,silos,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK402
171963,Modelos genéricos,Silos 2,Silos 2,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK403
173600,Modelos genéricos,Silo diario,Silo diario,PP,PP-PRL-LGC-PRELIMPIEZA,PP-PRL-LGC-SILOS,PP-PRL-SLO-SA00
173806,Modelos genéricos,silos 567,silos 567,TE,TE-ALM-LGC-ALMACENAJE (SILOS),TE-ALM-SLO-SILO 6,
174187,Modelos genéricos,Tanques aceite,Tanques aceite,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK2
174203,Modelos genéricos,Tanques aceite1,Tanques aceite,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-LCT-TNQ-TK1
174229,Modelos genéricos,Tanques aceite2,Tanques aceite,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE OSL,TE-ACT-TNQ-TK12
184857,Cubiertas,,Genérico - 400 mm,PP,PP-LCT-LGC-LECITINA,,
185694,Cubiertas,,Genérico - 400 mm,PP,PP-LCT-LGC-LECITINA,PP-LCT-LGC-TORRES ENFRIAMIENTO,
196831,Modelos genéricos,silos rio,silos rio,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK4
196851,Modelos genéricos,silos rio1,silos rio,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK2
196872,Modelos genéricos,silos rio2,silos rio,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK1
