element_id,unique_id,estado_aplicacion,mensaje,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80
179346,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002bc92,aplicado,OK,PP-EXT-EXT-EX01,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-EXT-EX01 EXTRACTOR,,PP-EXT-BMB-BO52,PP-EXT-BMB-BO02,PP-EXT-BMB-BO09,PP-EXT-BMB-BO17,PP-EXT-HDR-HCS02S,PP-EXT-HDR-HCS06N,PP-EXT-BMB-BO51,PP-EXT-BMB-BO24,PP-EXT-BMB-BO23,PP-EXT-VLV-VD02,PP-EXT-TRF-TRA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179296,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002bc60,aplicado,OK,PP-EXT-LGC-DESGOMADO,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESGOMADO,,PP-EXT-BMB-BO15,PP-EXT-LGC-BMB,PP-EXT-BMB-BO08,PP-EXT-BMB-BO16,PP-EXT-HDR-HCS02N,PP-EXT-HDR-HCS05S,PP-EXT-TNQ-TKMISCELAS,PP-EXT-BMB-BO46,PP-EXT-BMB-BO47,PP-EXT-BMB-BO48,PP-EXT-BMB-PSODA,PP-EXT-DSG-CE01,PP-EXT-DSG-CE02,PP-EXT-ENF-EASTOCK1,PP-EXT-RCT-REACTOR,PP-EXT-SCD-SECACEITE,PP-EXT-BMB-BO34,PP-EXT-TNQ-TKAGUA,PP-EXT-BMB-BO31,PP-EXT-TNQ-TKGOMAS,PP-EXT-BMB-BO33,PP-EXT-BMB-BOGL,PP-EXT-TNQ-TKHIDRATADOR,PP-EXT-AGT-AG01,PP-EXT-TNQ-TKMADURADOR,PP-EXT-AGT-AG02,PP-EXT-TNQ-TKMANIO,PP-EXT-TNQ-TKPULMON,PP-EXT-BMB-BO30,PP-EXT-MZC-MEZCDINAMICO,PP-EXT-TQN-TKGOMAS,PP-EXT-BMB-BO33A,PP-EXT-TQN-TKSODA,PP-EXT-BMB-BO45,PP-EXT-VLV-FCV-540,PP-EXT-VLV-PCV-510,PP-EXT-VLV-TCV-511,PP-EXT-VLV-TCV-512,PP-EXT-ABS-ABSOV,PP-EXT-INT-INT03,PP-EXT-VLV-VD01,PP-EXT-BMB-BO28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366838,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000598f6,aplicado,OK,PP-EXT-LGC-DESTILACION,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESTILACION,,PP-EXT-CND-COND,PP-EXT-BMB-BO05,PP-EXT-BMB-BO12,PP-EXT-HDR-HCP02,PP-EXT-HDR-HCS04N,PP-EXT-HDR-HCS07S,PP-EXT-VLV-SOV-031,PP-EXT-BMB-BO22,PP-EXT-CDL-MASICO,PP-EXT-EVP-EV01,PP-EXT-EVP-EV02,PP-EXT-BMB-BO20,PP-EXT-VLV-VSEV02,PP-EXT-EVP-EV03,PP-EXT-BMB-BO50,PP-EXT-PRC-PRECALEN,PP-EXT-STR-STRIPPER,PP-EXT-BMB-BO21,PP-EXT-VLV-LCV-230,PP-EXT-VLV-LCV-232,PP-EXT-VLV-LCV-233,PP-EXT-VLV-LCV-234,PP-EXT-VLV-PCV-010,PP-EXT-VLV-SOV-214,PP-EXT-VLV-TCV-011,PP-EXT-VLV-TCV-212,PP-EXT-CDL-CAUDALIM,PP-EXT-VNT-VE02,PP-EXT-SPR-SEPGOTAEXT,PP-EXT-BMB-BO44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366791,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000598c7,aplicado,OK,PP-EXT-LGC-RECUP,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-RECUP GASES,,PP-EXT-CLT-CALENT,PP-EXT-BMB-BO04,PP-EXT-BMB-BO11,PP-EXT-HDR-HCP01,PP-EXT-HDR-HCS03S,PP-EXT-HDR-HCS07N,PP-EXT-VLV-LCV-030,PP-EXT-CND-CVENT02,PP-EXT-VLV-SOV-320,PP-EXT-SIS-LUBCENTRAL,PP-EXT-BMB-BO43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366559,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-000597df,aplicado,OK,PP-EXT-LGC-SOLVENTE,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-SOLVENTE,,PP-EXT-CIL-SOV-080,PP-EXT-BMB-BO03,PP-EXT-BMB-BO10,PP-EXT-LGC-HIDROCICLONES,PP-EXT-HDR-HCS03N,PP-EXT-HDR-HCS06S,PP-EXT-VLV-FCV-050,PP-EXT-CND-CVENT01,PP-EXT-VLV-SOV-310,PP-EXT-BMB-BO01,PP-EXT-BMB-BO25,PP-EXT-BMB-BO26,PP-EXT-BMB-BO29,PP-EXT-BMB-BO42,PP-EXT-HEX01,PP-EXT-HEX02,PP-EXT-HEX03,PP-EXT-HEX04,PP-EXT-HEX05,PP-EXT-HRV-HERVIDOR,PP-EXT-INT-INT04HERV,PP-EXT-TNQ-TKA,PP-EXT-TNQ-TKB,PP-EXT-TNQ-TKC,PP-EXT-TNQ-TKSERVICIO,PP-EXT-VLV-VD03,PP-EXT-TRM-TRMSOLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366922,58a0c5ec-573a-4dcc-9a0e-9d96a2f21f89-0005994a,aplicado,OK,PP-EXT-TST-DT01,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-TST-DT01,,PP-EXT-INT-INT01,PP-EXT-BMB-BO07,PP-EXT-BMB-BO14,PP-EXT-HDR-HCS01S,PP-EXT-HDR-HCS05N,PP-EXT-RSC-RO01,PP-EXT-FLT-FILTRO,PP-EXT-INT-INT02,PP-EXT-SIS-DILUVIO,PP-EXT-TNQ-TKLAV,PP-EXT-BMB-BO27,PP-EXT-HDR-HCSOLV,PP-EXT-RDC-RDT01,PP-EXT-TNQ-TKCOND,PP-EXT-BMB-BO40,PP-EXT-BMB-BO41,PP-EXT-TNQ-TKFLASH,PP-EXT-VLV-VSTK,PP-EXT-VLV-EC01,PP-EXT-VLV-SOV-114,PP-EXT-VLV-TCV-110,PP-EXT-VLV-TCV-111,PP-EXT-VLV-VS01,PP-EXT-VLV-VS02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286624,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045fa0,aplicado,OK,PP-HRN-LGC-ENFRIADORES,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-ENFRIADORES,,PP-HRN-RSC-SF08,PP-HRN-ENF-EG11,PP-HRN-ART-ATER-01,PP-HRN-ART-ATER-02,PP-HRN-ART-ATER-03,PP-HRN-ART-ATER-04,PP-HRN-ART-ATER-05,PP-HRN-ART-ATER-06,PP-HRN-ART-ATER-07,PP-HRN-ART-ATER-08,PP-HRN-ART-ATER-09,PP-HRN-ART-ATER-10,PP-HRN-ART-ATER-11,PP-HRN-ART-ATER-12,PP-HRN-ART-ATER-13,PP-HRN-ART-ATER-14,PP-HRN-ART-ATER-15,PP-HRN-ART-ATER-16,PP-HRN-RSC-S08,PP-HRN-RSC-S10,PP-HRN-VLV-SOV-200,PP-HRN-VNT-VE15,PP-HRN-CCL-CVE15,PP-HRN-VLV-VR15,PP-HRN-VNT-VE16,PP-HRN-CCL-CVE16,PP-HRN-VLV-VR16,PP-HRN-VNT-VE17,PP-HRN-CCL-CVE17,PP-HRN-VLV-VR17,PP-HRN-VNT-VE18,PP-HRN-CCL-CVE18,PP-HRN-VLV-VR18,PP-HRN-ENF-EG12,PP-HRN-ART-ATER-17,PP-HRN-ART-ATER-18,PP-HRN-ART-ATER-19,PP-HRN-ART-ATER-20,PP-HRN-ART-ATER-21,PP-HRN-ART-ATER-22,PP-HRN-ART-ATER-23,PP-HRN-ART-ATER-24,PP-HRN-ART-ATER-25,PP-HRN-ART-ATER-26,PP-HRN-ART-ATER-27,PP-HRN-ART-ATER-28,PP-HRN-ART-ATER-29,PP-HRN-RSC-S09,PP-HRN-RSC-S11,PP-HRN-RSC-S22,PP-HRN-RSC-S23,PP-HRN-VLV-SOV-201,PP-HRN-VLV-SOV-202,PP-HRN-VNT-VE19,PP-HRN-CCL-CVE19,PP-HRN-VLV-VR19,PP-HRN-VNT-VE20,PP-HRN-CCL-CVE20,PP-HRN-VLV-VR20,PP-HRN-VNT-VE21,PP-HRN-CCL-CVE21,PP-HRN-VLV-VR21,PP-HRN-VNT-VE22,PP-HRN-CCL-CVE22,PP-HRN-VLV-VR22,PP-HRN-LGC-MEZCLADORAS,PP-HRN-VLV-VM05,,,,,,,,,
366082,112ed255-2c3e-4575-ba44-903fa5f3f8e7-00059602,aplicado,OK,PP-HRN-LGC-MOLINOS,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-MOLINOS,,PP-HRN-RSC-SF10,PP-HRN-RSC-S05,PP-HRN-MLN-M01,PP-HRN-RSC-MA01,PP-HRN-RSC-SM01,PP-HRN-MLN-M02,PP-HRN-RSC-MA02,PP-HRN-RSC-SM02,PP-HRN-VLV-VM07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285276,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045a5c,aplicado,OK,PP-HRN-LGC-NORIAS,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-NORIAS,,PP-HRN-FLT-FM02,PP-HRN-CCL-CVE23,PP-HRN-NOR-N03,PP-HRN-NOR-N04,PP-HRN-VLV-VM04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365759,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000594bf,aplicado,OK,PP-HRN-LGC-REDLER,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-REDLER,,PP-HRN-RSC-SF09,PP-HRN-RSC-S04,PP-HRN-RDL-R18,PP-HRN-RDL-R18A,PP-HRN-RDL-R18B,PP-HRN-RDL-R18C,PP-HRN-RDL-R19,PP-HRN-RDL-R20,PP-HRN-RDL-R22,PP-HRN-RDL-R23,PP-HRN-RDL-R24,PP-HRN-RDL-R25,PP-HRN-RDL-R26,PP-HRN-RDL-R27,PP-HRN-VLV-VM06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
