codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
P10-DSC-BMB-BS02,BOMBA SOPLANTE BS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_04,escrito_en_slot_btz
P10-DSC-CCL-CBS02,CICLON BOMBA SOPLANTE BS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
P10-DSC-MLN-M05,MOLINO A MARTILLO DE CASC. 05 LADO ESTE,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
P10-DSC-ALM-MA05,ALIM. MOLINO A MARTILLO M05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
P10-DSC-RSC-MSF05,SIN FIN MSF05 DESCARGA DE M05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
P10-DSC-MLN-M06,MOLINO A MARTILLO DE CASC. 06 LADO OESTE,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
P10-DSC-ALM-MA06,ALIM. MOLINO A MARTILLO M06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
P10-DSC-RSC-MSF06,SIN FIN MSF06 DESCARGA DE M06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
P10-DSC-RSC-SF15,SIN FIN A TOLVA DE SOPLANTE BS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_12,escrito_en_slot_btz
P10-DSC-VLV-VR17,VALVULA ROTATIVA  VR17 RECIBER DE BS01,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_13,escrito_en_slot_btz
P10-DSC-VLV-VR15A,VALVULA ROTATIVA CONJUNTO COMPLETO VR15A,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_por_ancestro_project,P10-DSC-LGC-MOLINO,asociado_a_contenedor,SI,btz_description_14,escrito_en_slot_btz
P10-DSC-QBR-Q11,QUEBRADOR 11 DESC 1RA PASADA (COMPARTE CAIDA C/Q15),378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_04,escrito_en_slot_btz
P10-DSC-QBR-QA11,ALIMENADOR Q11 DESC 1RA PASADA,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
P10-DSC-QBR-Q12,QUEBRADOR 12 DESC 1RA PASADA (COMPARTE CAIDA C/Q16),378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
P10-DSC-QBR-QA12,ALIMENADOR Q12 DESC 1RA PASADA,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
P10-DSC-QBR-Q13,QUEBRADOR 13 DESC 1RA PASADA (COMPARTE CAIDA C/Q17),378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
P10-DSC-QBR-QA13,ALIMENADOR Q13 DESC 1RA PASADA,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
P10-DSC-QBR-Q14,QUEBRADOR 14 DESC 1RA PASADA (COMPARTE CAIDA C/Q18),378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
P10-DSC-QBR-QA14,ALIMENADOR Q14 DESC 1RA PASADA,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
P10-DSC-QBR-Q15,QUEBRADOR 15 DESC 1RA PASADA (COMPARTE CAIDA C/Q11),378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_12,escrito_en_slot_btz
P10-DSC-QBR-QA15,ALIMENADOR Q15 DESC 1RA PASADA,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_13,escrito_en_slot_btz
P10-DSC-QBR-Q16,QUEBRADOR 16 DESC 1RA PASADA (COMPARTE CAIDA C/Q12),378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_por_ancestro_project,P10-DSC-LGC-QUEBRADORES,asociado_a_contenedor,SI,btz_description_14,escrito_en_slot_btz
