element_id_contenedor,unique_id_contenedor,btz_path_contenedor,codigo_project,descripcion_project,slots_libres,cantidad_hijos_asignados,motivo_omision
282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,P10-EXT-VLV-SOV426,VALVULA ENTRADA DE AGUA A WESTFALIA,27,28,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VLV-VR27,VALV. ROT. 27 (VE34),27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE39,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE39,AEROTERMO DE VENTILADOR VE39,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE40,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE40,AEROTERMO DE VENTILADOR VE40,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE41,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE41,AEROTERMO DE VENTILADOR VE41,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE42,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE42,AEROTERMO DE VENTILADOR VE42,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE43,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE43,AEROTERMO DE VENTILADOR VE43,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE44,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE44,AEROTERMO DE VENTILADOR VE44,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE45,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE45,AEROTERMO DE VENTILADOR VE45,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE46,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE46,AEROTERMO DE VENTILADOR VE46,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE47,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE47,AEROTERMO DE VENTILADOR VE47,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE48,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE48,AEROTERMO DE VENTILADOR VE48,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE49,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE49,AEROTERMO DE VENTILADOR VE49,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE50,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE50,AEROTERMO DE VENTILADOR VE50,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE51,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE51,AEROTERMO DE VENTILADOR VE51,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE52,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE52,AEROTERMO DE VENTILADOR VE52,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-VNT-VE53,VTF AEROTERMOS ENFR.EG01,27,78,asociado_por_csv_externo_supera_slots_btz
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,P10-HRN-ART-ARTVE53,AEROTERMO DE VENTILADOR VE53,27,78,asociado_por_csv_externo_supera_slots_btz
