element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
176327,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002b0c7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-ADM-OFC-OFICINA MANT,P10,P10-SRV-LGC-SERVICIOS,P10-ADM-OFC-OFICINA MANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,1
185694,25d0f85d-57da-4cae-8ca2-9b682363407e-0002d55e,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-TORRES ENF EXT,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-LGC-TORRES ENF EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-CLD-CMB CALDERA,P10,P10-SRV-LGC-SERVICIOS,P10-SRV-CLD-CMB CALDERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
227678,25d0f85d-57da-4cae-8ca2-9b682363407e-0003795e,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,P10,P10-HRN-LGC-HARINA,P10-HRN-LGC-MOLINOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,9
228225,25d0f85d-57da-4cae-8ca2-9b682363407e-00037b81,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-ENE-LGC-TRAFOS,P10,P10-ENE-LGC-TRAFOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,10
281069,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000449ed,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-QUEBRADORES,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,26
281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,0
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-EXPANDIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,49
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,P10,P10-PRP-LGC-PREPARACION,P10-PRP-LGC-LAMINADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,61
281487,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044b8f,Roofs,,Genérico - 400 mm,Genérico - 400 mm,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG02,P10,P10-HRN-LGC-HARINA,P10-HRN-ENF-EG02,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,27,15
