element_id,unique_id,btz_path_contenedor,cantidad_codigos_asociados,cantidad_ya_existian,cantidad_escritos,cantidad_omitidos_sin_slot,slots_libres_iniciales,slots_libres_finales
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,11,11,0,0,66,66
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,16,16,0,0,61,61
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,4,4,0,0,73,73
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,12,12,0,0,65,65
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,23,23,0,0,53,53
282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,28,28,0,0,49,49
282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,14,14,0,0,63,63
282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,16,16,0,0,61,61
282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,26,26,0,0,51,51
385885,905be7f4-0c46-42ea-a443-0fdea469e6f3-0005e35d,P10 > P10-HRN-LGC-HARINA > P10-HRN-CNT-C04,2,2,0,0,75,75
227678,25d0f85d-57da-4cae-8ca2-9b682363407e-0003795e,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,9,9,0,0,68,68
380586,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ceaa,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-NORIAS,4,4,0,0,73,73
358462,1dd21141-8de6-4d43-b824-f67da67065de-0005783e,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-SRT-SR01,2,2,0,0,74,74
358495,1dd21141-8de6-4d43-b824-f67da67065de-0005785f,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-SRT-SR02,1,1,0,0,75,75
380547,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ce83,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-TAMIZADORES,15,15,0,0,62,62
367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,78,77,0,1,0,0
281487,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044b8f,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG02,15,15,0,0,62,62
281220,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a84,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-EXPANDIDO,49,49,0,0,28,28
281343,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044aff,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-LAMINADORES,61,61,0,0,16,16
281069,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000449ed,P10 > P10-PRP-LGC-PREPARACION > P10-PRP-LGC-QUEBRADORES,26,26,0,0,51,51
385396,3ade3506-4f84-4896-9589-30d81e40c276-0005e174,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-MULTIASPIRADORES,19,19,0,0,58,58
384012,e0118a5a-e983-4b93-852f-e273cc5f6243-0005dc0c,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-SILOS > P10-PRL-SLO-SRECUP,1,1,0,0,75,75
385248,3ade3506-4f84-4896-9589-30d81e40c276-0005e0e0,P10 > P10-PRL-LGC-PRELIMPIEZA > P10-PRL-LGC-MERMA,9,9,0,0,68,68
365213,5058d264-a8f9-4ba1-9628-877e44bc2201-0005929d,P10 > P10-SRV-LGC-SERVICIOS > P10-SRV-LGC-OSMOSIS,14,14,0,0,63,63
228225,25d0f85d-57da-4cae-8ca2-9b682363407e-00037b81,P10 > P10-ENE-LGC-TRAFOS,10,10,0,0,68,68
282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION,6,6,0,0,70,70
378523,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c69b,P10 > P10-GRL-LGC-CCM,8,8,0,0,70,70
176327,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002b0c7,P10 > P10-SRV-LGC-SERVICIOS > P10-ADM-OFC-OFICINA MANT,1,1,0,0,76,76
