element_id,unique_id,btz_path_contenedor,codigo_project,estado_correccion,btz_description_slot_usado,mensaje
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-BMB-BS02,ya_existia,BTZ_Description_04,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-CCL-CBS02,ya_existia,BTZ_Description_05,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-MLN-M05,ya_existia,BTZ_Description_06,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-ALM-MA05,ya_existia,BTZ_Description_07,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-RSC-MSF05,ya_existia,BTZ_Description_08,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-MLN-M06,ya_existia,BTZ_Description_09,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-ALM-MA06,ya_existia,BTZ_Description_10,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-RSC-MSF06,ya_existia,BTZ_Description_11,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-RSC-SF15,ya_existia,BTZ_Description_12,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-VLV-VR17,ya_existia,BTZ_Description_13,El código ya estaba escrito en el elemento
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-VLV-VR15A,ya_existia,BTZ_Description_14,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q11,ya_existia,BTZ_Description_04,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA11,ya_existia,BTZ_Description_05,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q12,ya_existia,BTZ_Description_06,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA12,ya_existia,BTZ_Description_07,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q13,ya_existia,BTZ_Description_08,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA13,ya_existia,BTZ_Description_09,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q14,ya_existia,BTZ_Description_10,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA14,ya_existia,BTZ_Description_11,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q15,ya_existia,BTZ_Description_12,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA15,ya_existia,BTZ_Description_13,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q16,ya_existia,BTZ_Description_14,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA16,ya_existia,BTZ_Description_15,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q17,ya_existia,BTZ_Description_16,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA17,ya_existia,BTZ_Description_17,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q18,ya_existia,BTZ_Description_18,El código ya estaba escrito en el elemento
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-QA18,ya_existia,BTZ_Description_19,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R33,ya_existia,BTZ_Description_04,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R34,ya_existia,BTZ_Description_05,El código ya estaba escrito en el elemento
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-RDL-R35,ya_existia,BTZ_Description_06,El código ya estaba escrito en el elemento
