fecha,project_xml,planta,element_id,unique_id,parametro,codigo_anterior,codigo_nuevo,estado,mensaje
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,185694,25d0f85d-57da-4cae-8ca2-9b682363407e-0002d55e,BTZ_Description_04,P10-SRV-LGC-TORRES,,limpiado_duplicado,El código completo ya existía en BTZ_Description_03; se limpió el truncado
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,185694,25d0f85d-57da-4cae-8ca2-9b682363407e-0002d55e,BTZ_NumeroActivo,P10-SRV-LGC-TORRES,,limpiado_duplicado,El código completo ya existía en BTZ_Description_03; se limpió el truncado
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,BTZ_Description_03,P10-SRV-CLD-CMB,P10-SRV-CLD-CMB CALDERA,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,BTZ_Description_13,P10-SRV-CLC-COLECTOR,P10-SRV-CLC-COLECTOR PRINCIPAL,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,BTZ_Description_14,P10-SRV-LGC-VALV,P10-SRV-LGC-VALV CONTROL CLD,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,BTZ_Description_31,P10-SRV-TNQ-TKRESERVA,P10-SRV-TNQ-TKRESERVA CLD,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,227527,25d0f85d-57da-4cae-8ca2-9b682363407e-000378c7,BTZ_NumeroActivo,P10-SRV-CLD-CMB,,limpiado_duplicado,El código completo ya existía en BTZ_Description_03; se limpió el truncado
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,228225,25d0f85d-57da-4cae-8ca2-9b682363407e-00037b81,BTZ_Description_12,P10-ENE-GNR-GENERADOR,P10-ENE-GNR-GENERADOR CUMMI,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,BTZ_Description_08,P10-SRA-BMB-DOSIF,P10-SRA-BMB-DOSIF APL,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,BTZ_NumeroActivo,P10-EXT-LGC-BMB,,limpiado_duplicado,El código completo ya existía en BTZ_Description_04; se limpió el truncado
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,BTZ_Description_04,P10-EXT-CND-HX303,P10-EXT-CND-HX303 COND DT,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,BTZ_Description_05,P10-EXT-LGC-VLV,P10-EXT-LGC-VLV SEG DT250,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,BTZ_Description_12,P10-EXT-TNQ-V480,P10-EXT-TNQ-V480 COND DT,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,BTZ_Description_16,P10-EXT-TNQ-V262,P10-EXT-TNQ-V262 COND DT,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,BTZ_Description_17,P10-EXT-TNQ-V475,P10-EXT-TNQ-V475 TK FLASHEO,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_Description_04,P10-EXT-ABS-V341,P10-EXT-ABS-V341 ABSORV,corregido,Completado desde etiqueta Project XML
2026-06-02 10:35:25,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\P10.xml,P10,282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,BTZ_Description_07,P10-EXT-CLT-HX344,P10-EXT-CLT-HX344 AC MIN,corregido,Completado desde etiqueta Project XML
