codigo_project,element_id_contenedor_detectado,unique_id_contenedor_detectado,btz_path_contenedor,estado_lectura,motivo,columnas_detectadas
P10-DSC-BMB-BS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-CCL-CBS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-MLN-M05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-ALM-MA05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-MSF05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-MLN-M06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-ALM-MA06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-MSF06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF15,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-VLV-VR17,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-VLV-VR15A,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q11,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA11,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q12,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA12,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q13,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA13,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q14,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA14,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q15,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA15,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q16,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA16,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q17,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA17,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-Q18,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-QBR-QA18,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,ok,,codigo;element_id;unique_id;path
P10-DSC-RDL-R33,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,ok,,codigo;element_id;unique_id;path
P10-DSC-RDL-R34,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,ok,,codigo;element_id;unique_id;path
P10-DSC-RDL-R35,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,ok,,codigo;element_id;unique_id;path
P10-DSC-RDL-R36,378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF07,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF06,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF23,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF21,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF22,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-RSC-SF24,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-ZRN-Z01,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-ZRN-Z02,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-ZRN-Z03,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-ZRN-Z04,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-ZRN-Z05,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-DSC-ZRN-Z06,378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCP01,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCP02,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCP03,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS01E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS01O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS02E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS02O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS03E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS03O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS04E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS04O,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
P10-EXT-HDR-HCS05E,282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,ok,,codigo;element_id;unique_id;path
