element_id_contenedor,unique_id_contenedor,btz_path_contenedor,cantidad_codigos_en_csv_fuente,ejemplo_codigos,existe_en_revit,unique_id_coincide,cantidad_btz_ocupados_actuales,cantidad_slots_libres_actuales,cantidad_a_escribir,cantidad_ya_existia,cantidad_sin_slot,motivo_si_no_escribe
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,11,P10-DSC-BMB-BS02; P10-DSC-CCL-CBS02; P10-DSC-MLN-M05; P10-DSC-ALM-MA05; P10-DSC-RSC-MSF05; P10-DSC-MLN-M06; P10-DSC-ALM-MA06; P10-DSC-RSC-MSF06,SI,SI,14,66,0,11,0,todos_ya_existian
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,16,P10-DSC-QBR-Q11; P10-DSC-QBR-QA11; P10-DSC-QBR-Q12; P10-DSC-QBR-QA12; P10-DSC-QBR-Q13; P10-DSC-QBR-QA13; P10-DSC-QBR-Q14; P10-DSC-QBR-QA14,SI,SI,19,61,0,16,0,todos_ya_existian
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,4,P10-DSC-RDL-R33; P10-DSC-RDL-R34; P10-DSC-RDL-R35; P10-DSC-RDL-R36,SI,SI,7,73,0,4,0,todos_ya_existian
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS,12,P10-DSC-RSC-SF07; P10-DSC-RSC-SF06; P10-DSC-RSC-SF23; P10-DSC-RSC-SF21; P10-DSC-RSC-SF22; P10-DSC-RSC-SF24; P10-DSC-ZRN-Z01; P10-DSC-ZRN-Z02,SI,SI,15,65,0,12,0,todos_ya_existian
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-HIDROCICLONES,23,P10-EXT-HDR-HCP01; P10-EXT-HDR-HCP02; P10-EXT-HDR-HCP03; P10-EXT-HDR-HCS01E; P10-EXT-HDR-HCS01O; P10-EXT-HDR-HCS02E; P10-EXT-HDR-HCS02O; P10-EXT-HDR-HCS03E,SI,SI,27,53,0,23,0,todos_ya_existian
282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,28,P10-EXT-BMB-PSODA; P10-EXT-BMB-P435A; P10-EXT-CLT-HX445; P10-EXT-DSG-C425; P10-EXT-DSG-C430; P10-EXT-DSG-C435; P10-EXT-ENF-HX460; P10-EXT-INT-HX440,SI,SI,31,49,0,28,0,todos_ya_existian
282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESTILACION,14,P10-EXT-EVP-HX301; P10-EXT-CND-HX305; P10-EXT-CND-HX304; P10-EXT-EVP-HX307; P10-EXT-CND-HX308; P10-EXT-EVP-HX309; P10-EXT-BMB-P310; P10-EXT-INT-HX314,SI,SI,17,63,0,14,0,todos_ya_existian
282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE,16,P10-EXT-BMB-P336; P10-EXT-BMB-P351; P10-EXT-PRC-HX302; P10-EXT-INT-V338; P10-EXT-RHV-HX337; P10-EXT-TNQ-V330; P10-EXT-BMB-P331; P10-EXT-BMB-P335,SI,SI,19,61,0,16,0,todos_ya_existian
282656,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045020,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,26,P10-EXT-CND-HX303; P10-EXT-LGC-VLV; P10-EXT-VLV-PRV259; P10-EXT-VLV-PRV258; P10-EXT-VLV-PRV260; P10-EXT-MND-M250A; P10-EXT-RDC-RDT250; P10-EXT-BMB-P250,SI,SI,29,51,0,26,0,todos_ya_existian
385885,905be7f4-0c46-42ea-a443-0fdea469e6f3-0005e35d,P10 > P10-HRN-LGC-HARINA > P10-HRN-CNT-C04,2,P10-HRN-VLV-VGG01; P10-HRN-VLV-VGH01,SI,SI,5,75,0,2,0,todos_ya_existian
227678,25d0f85d-57da-4cae-8ca2-9b682363407e-0003795e,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,9,P10-HRN-MLN-M01; P10-HRN-ALM-MA01; P10-HRN-RSC-MSF01; P10-HRN-MLN-M02; P10-HRN-ALM-MA02; P10-HRN-RSC-MSF02; P10-HRN-MLN-M03; P10-HRN-ALM-MA03,SI,SI,12,68,0,9,0,todos_ya_existian
380586,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005ceaa,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-NORIAS,4,P10-HRN-NOR-N03; P10-HRN-NOR-N04; P10-HRN-NOR-N05; P10-HRN-MNL-NML05,SI,SI,7,73,0,4,0,todos_ya_existian
358462,1dd21141-8de6-4d43-b824-f67da67065de-0005783e,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-SRT-SR01,2,P10-HRN-RSC-SF04; P10-HRN-VLV-VALV,SI,SI,6,74,0,2,0,todos_ya_existian
358495,1dd21141-8de6-4d43-b824-f67da67065de-0005785f,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-SRT-SR02,1,P10-HRN-RSC-SF05,SI,SI,5,75,0,1,0,todos_ya_existian
