origen_archivo,codigo_project,descripcion_project,estado_match,tipo_asociacion,element_id_revit,contenedor_sugerido_element_id,btz_path_actual,btz_path_contenedor,project_path,ancestor_codes_project,ancestor_names_project,motivo_revision,observacion
match_project_revit_preparacion.csv,P10-DSC-LGC-CONJUNTO,CONJUNTO DE CCC SEGUNDA PASADA DESCASCARADO P10,duplicado,elemento_puntual,378308,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO,,Código repetido en Project 2 veces. 2 elementos Revit contienen el código exacto. | no aparece en asociacion_contenedor_hijos_final_p10.csv
match_project_revit_preparacion.csv,P10-DSC-LGC-CONJUNTO,CONJUNTO DE CCC SEGUNDA PASADA DESCASCARADO P10,duplicado,elemento_puntual,378434,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO,,Código repetido en Project 2 veces. 2 elementos Revit contienen el código exacto. | no aparece en asociacion_contenedor_hijos_final_p10.csv
match_project_revit_preparacion.csv,P10-EXT-VLV-VSA420,VALVULA DE SEGURIDAD AGITADOR A420,asignable_a_contenedor,contenedor_por_ancestro_project,282997,282997,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO > P10-EXT-TNQ-V420 TK HIDRAT > P10-EXT-AGT-A420 > P10-EXT-VLV-VSA420,P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO > P10-EXT-TNQ-V420 > P10-EXT-AGT-A420,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-DESGOMADO > P10-EXT-TNQ-V420 TK HIDRAT > P10-EXT-AGT-A420,,Sin match puntual; contenedor único por ancestro Project P10-EXT-LGC-DESGOMADO.
match_project_revit_preparacion.csv,P10-EXT-LGC-VLV,CONJUNTO DE VALVULAS DE SEGURIDAD DEL TOSTER,asignable_a_contenedor,contenedor_por_ancestro_project,282656,282656,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250,P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,,Sin match puntual; contenedor único por ancestro Project P10-EXT-TST-DT250.
match_project_revit_preparacion.csv,P10-EXT-VLV-PRV259,"SEGURIDAD VAPOR DIRECTO PISO INFERIOR 3,1 BAR, 6 PULG A 8 PULG SERIE 150",asignable_a_contenedor,contenedor_por_ancestro_project,282656,282656,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250 > P10-EXT-VLV-PRV259,P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250,,Sin match puntual; contenedor único por ancestro Project P10-EXT-TST-DT250.
match_project_revit_preparacion.csv,P10-EXT-VLV-PRV258,"SEGURIDAD VAPOR DIRECTO PISO SUPERIOR 2,1 BAR DE 6 PULG A 8 PULG SERIE 150",asignable_a_contenedor,contenedor_por_ancestro_project,282656,282656,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250 > P10-EXT-VLV-PRV258,P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250,,Sin match puntual; contenedor único por ancestro Project P10-EXT-TST-DT250.
match_project_revit_preparacion.csv,P10-EXT-VLV-PRV260,"VALVULA SEGURIDAD VAPOR INDIRECTO 1,75 BAR, 4 PULG A 4 PULG SERIE 150",asignable_a_contenedor,contenedor_por_ancestro_project,282656,282656,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250 > P10-EXT-VLV-PRV260,P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-TST-DT250 > P10-EXT-LGC-VLV SEG DT250,,Sin match puntual; contenedor único por ancestro Project P10-EXT-TST-DT250.
match_project_revit_preparacion.csv,P10-HRN-LGC-HARINA,SECTOR HARINA P10,duplicado,elemento_puntual,367888,,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01,,P10 > P10-HRN-LGC-HARINA,,P10,,10 elementos Revit contienen el código exacto. | no aparece en asociacion_contenedor_hijos_final_p10.csv
match_project_revit_preparacion.csv,P10-HRN-VLV-VSSR01,VALVULA SEGURIDAD DE SECADOR ROTATIVO SR01,contenedor_duplicado,contenedor_por_ancestro_project,227678,227678,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-VLV-VSSR01,P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS,,Ancestro Project P10-HRN-LGC-HARINA aparece en 10 contenedores. | no aparece en asociacion_contenedor_hijos_final_p10.csv
match_project_revit_preparacion.csv,P10-HRN-VLV-VSSR02,VALVULA SEGURIDAD DE SECADOR ROTATIVO SR02,contenedor_duplicado,contenedor_por_ancestro_project,227678,227678,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-MOLINOS,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS > P10-HRN-VLV-VSSR02,P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC,P10 > P10-HRN-LGC-HARINA > P10-HRN-LGC-SEC. ROTATIVOS,,Ancestro Project P10-HRN-LGC-HARINA aparece en 10 contenedores. | no aparece en asociacion_contenedor_hijos_final_p10.csv
