"nivel_btz","valor_btz","nombre_vista","nombre_filtro","archivo_png","estado","mensaje"
"02","CELDAS","EXP_BTZ02_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS","FILTRO_BTZ02_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS","BTZ02_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_CELDAS.png","ok",""
"02","VARIOS","EXP_BTZ02_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS","FILTRO_BTZ02_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS","BTZ02_SAN_LORENZO_TE_TE_ADM_LGC_EDIFICIOS_VARIOS.png","ok",""
"02","CAMIONES","EXP_BTZ02_SAN_LORENZO_TE_TE_DDC_LGC_DESCARGA_CAMIONES","FILTRO_BTZ02_SAN_LORENZO_TE_TE_DDC_LGC_DESCARGA_CAMIONES","BTZ02_SAN_LORENZO_TE_TE_DDC_LGC_DESCARGA_CAMIONES.png","ok",""
"02","ACEITE","EXP_BTZ02_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE","FILTRO_BTZ02_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE","BTZ02_SAN_LORENZO_TE_TE_ACT_LGC_SECTOR_ACEITE.png","ok",""
"02","PRELIMPIEZA","EXP_BTZ02_SAN_LORENZO_PP_PP_PRL_LGC_PRELIMPIEZA","FILTRO_BTZ02_SAN_LORENZO_PP_PP_PRL_LGC_PRELIMPIEZA","BTZ02_SAN_LORENZO_PP_PP_PRL_LGC_PRELIMPIEZA.png","ok",""
"02","SILOS","EXP_BTZ02_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS","FILTRO_BTZ02_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS","BTZ02_SAN_LORENZO_TE_TE_ALM_LGC_ALMACENAJE_SILOS.png","ok",""
"02","MANT","EXP_BTZ02_SAN_LORENZO_P10_P10_ADM_OFC_OFICINA_MANT","FILTRO_BTZ02_SAN_LORENZO_P10_P10_ADM_OFC_OFICINA_MANT","BTZ02_SAN_LORENZO_P10_P10_ADM_OFC_OFICINA_MANT.png","ok",""
"02","EXTRACCION","EXP_BTZ02_SAN_LORENZO_PP_PP_EXT_LGC_EXTRACCION","FILTRO_BTZ02_SAN_LORENZO_PP_PP_EXT_LGC_EXTRACCION","BTZ02_SAN_LORENZO_PP_PP_EXT_LGC_EXTRACCION.png","ok",""
"02","DESCASCARADO","EXP_BTZ02_SAN_LORENZO_PP_PP_DSC_LGC_DESCASCARADO","FILTRO_BTZ02_SAN_LORENZO_PP_PP_DSC_LGC_DESCASCARADO","BTZ02_SAN_LORENZO_PP_PP_DSC_LGC_DESCASCARADO.png","ok",""
"02","LECITINA","EXP_BTZ02_SAN_LORENZO_PP_PP_LCT_LGC_LECITINA","FILTRO_BTZ02_SAN_LORENZO_PP_PP_LCT_LGC_LECITINA","BTZ02_SAN_LORENZO_PP_PP_LCT_LGC_LECITINA.png","ok",""
"02","SERVICIOS","EXP_BTZ02_SAN_LORENZO_P10_P10_SRV_LGC_SERVICIOS","FILTRO_BTZ02_SAN_LORENZO_P10_P10_SRV_LGC_SERVICIOS","BTZ02_SAN_LORENZO_P10_P10_SRV_LGC_SERVICIOS.png","ok",""
"02","HARINA","EXP_BTZ02_SAN_LORENZO_P10_P10_HRN_LGC_HARINA","FILTRO_BTZ02_SAN_LORENZO_P10_P10_HRN_LGC_HARINA","BTZ02_SAN_LORENZO_P10_P10_HRN_LGC_HARINA.png","ok",""
"02","PRELIMPIEZA","EXP_BTZ02_SAN_LORENZO_P10_P10_PRL_LGC_PRELIMPIEZA","FILTRO_BTZ02_SAN_LORENZO_P10_P10_PRL_LGC_PRELIMPIEZA","BTZ02_SAN_LORENZO_P10_P10_PRL_LGC_PRELIMPIEZA.png","ok",""
"02","MANIPULEO","EXP_BTZ02_SAN_LORENZO_TE_TE_TDM_LGC_TORRE_DE_MANIPULEO","FILTRO_BTZ02_SAN_LORENZO_TE_TE_TDM_LGC_TORRE_DE_MANIPULEO","BTZ02_SAN_LORENZO_TE_TE_TDM_LGC_TORRE_DE_MANIPULEO.png","ok",""
"02","EMBARQUE","EXP_BTZ02_SAN_LORENZO_TE_TE_EMB_LGC_SECTOR_EMBARQUE","FILTRO_BTZ02_SAN_LORENZO_TE_TE_EMB_LGC_SECTOR_EMBARQUE","BTZ02_SAN_LORENZO_TE_TE_EMB_LGC_SECTOR_EMBARQUE.png","ok",""
