=== BTZ — Resumen de agrupación (Exportar grupos) ===
Elementos exportados (instancias en el barrido): 364
Grupos distintos (group_key): 21

Formato group_key: macro|categoría|familia|tipo (ver build_group_key en el script).
Si hay muchos grupos con count=1, el modelo fragmenta tipos/familias; n8n recibe un grupo por combinación.

--- Lista por grupo (orden alfabético por group_key) ---
count	macro_group	category	family	type	group_key
1	obra_gris	Floors	techo curvo	techo curvo	obra_gris|Floors|techo curvo|techo curvo
165	obra_gris	Floors		Camino industrial	obra_gris|Floors||Camino industrial
1	obra_gris	Floors		Hormigón 160 mm con chapa grecada 50 mm	obra_gris|Floors||Hormigón 160 mm con chapa grecada 50 mm
1	obra_gris	Floors		Hormigón-362 mm comercial	obra_gris|Floors||Hormigón-362 mm comercial
1	obra_gris	Floors		Natural	obra_gris|Floors||Natural
167	obra_gris	Walls		Genérico - 200 mm	obra_gris|Walls||Genérico - 200 mm
14	otros	Generic Models	Familia1	Familia1	otros|Generic Models|Familia1|Familia1
1	otros	Generic Models	Modelos genéricos 10	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 10|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 11	Modelos genéricos 11	otros|Generic Models|Modelos genéricos 11|Modelos genéricos 11
1	otros	Generic Models	Modelos genéricos 12	Modelos genéricos 12	otros|Generic Models|Modelos genéricos 12|Modelos genéricos 12
1	otros	Generic Models	Modelos genéricos 13	Modelos genéricos 12	otros|Generic Models|Modelos genéricos 13|Modelos genéricos 12
1	otros	Generic Models	Modelos genéricos 14	Modelos genéricos 14	otros|Generic Models|Modelos genéricos 14|Modelos genéricos 14
1	otros	Generic Models	Modelos genéricos 1	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 1|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 2	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 2|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 3	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 3|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 4	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 4|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 5	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 5|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 6	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 6|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 7	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 7|Modelos genéricos 1
1	otros	Generic Models	Modelos genéricos 8	Modelos genéricos 8	otros|Generic Models|Modelos genéricos 8|Modelos genéricos 8
1	otros	Generic Models	Modelos genéricos 9	Modelos genéricos 1	otros|Generic Models|Modelos genéricos 9|Modelos genéricos 1

Estadísticos count por grupo: min=1 max=167 media=17.3
