element_id,unique_id,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,estado_match,estado_confirmacion,observacion,limpiar_valores
378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10-DSC-LGC-MOLINO,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,P10-DSC-BMB-BS02,P10-DSC-CCL-CBS02,P10-DSC-MLN-M05,P10-DSC-ALM-MA05,P10-DSC-RSC-MSF05,P10-DSC-MLN-M06,P10-DSC-ALM-MA06,P10-DSC-RSC-MSF06,P10-DSC-RSC-SF15,P10-DSC-VLV-VR17,P10-DSC-VLV-VR15A,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-DSC-BMB-BS02 escrito en btz_description_04 | hijo Project P10-DSC-CCL-CBS02 escrito en btz_description_05 | hijo Project P10-DSC-MLN-M05 escrito en btz_description_06 | hijo Project P10-DSC-ALM-MA05 escrito en btz_description_07 | hijo Project P10-DSC-RSC-MSF05 escrito en btz_description_08 | hijo Project P10-DSC-MLN-M06 escrito en btz_description_09 | hijo Project P10-DSC-ALM-MA06 escrito en btz_description_10 | hijo Project P10-DSC-RSC-MSF06 escrito en btz_description_11 | hijo Project P10-DSC-RSC-SF15 escrito en btz_description_12 | hijo Project P10-DSC-VLV-VR17 escrito en btz_description_13 | hijo Project P10-DSC-VLV-VR15A escrito en btz_description_14,NO
378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10-DSC-LGC-QUEBRADORES,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,P10-DSC-QBR-Q11,P10-DSC-QBR-QA11,P10-DSC-QBR-Q12,P10-DSC-QBR-QA12,P10-DSC-QBR-Q13,P10-DSC-QBR-QA13,P10-DSC-QBR-Q14,P10-DSC-QBR-QA14,P10-DSC-QBR-Q15,P10-DSC-QBR-QA15,P10-DSC-QBR-Q16,P10-DSC-QBR-QA16,P10-DSC-QBR-Q17,P10-DSC-QBR-QA17,P10-DSC-QBR-Q18,P10-DSC-QBR-QA18,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-DSC-QBR-Q11 escrito en btz_description_04 | hijo Project P10-DSC-QBR-QA11 escrito en btz_description_05 | hijo Project P10-DSC-QBR-Q12 escrito en btz_description_06 | hijo Project P10-DSC-QBR-QA12 escrito en btz_description_07 | hijo Project P10-DSC-QBR-Q13 escrito en btz_description_08 | hijo Project P10-DSC-QBR-QA13 escrito en btz_description_09 | hijo Project P10-DSC-QBR-Q14 escrito en btz_description_10 | hijo Project P10-DSC-QBR-QA14 escrito en btz_description_11 | hijo Project P10-DSC-QBR-Q15 escrito en btz_description_12 | hijo Project P10-DSC-QBR-QA15 escrito en btz_description_13 | hijo Project P10-DSC-QBR-Q16 escrito en btz_description_14 | hijo Project P10-DSC-QBR-QA16 escrito en btz_description_15 | hijo Project P10-DSC-QBR-Q17 escrito en btz_description_16 | hijo Project P10-DSC-QBR-QA17 escrito en btz_description_17 | hijo Project P10-DSC-QBR-Q18 escrito en btz_description_18 | hijo Project P10-DSC-QBR-QA18 escrito en btz_description_19,NO
378728,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c768,P10-DSC-LGC-REDLER,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-REDLER,P10-DSC-RDL-R33,P10-DSC-RDL-R34,P10-DSC-RDL-R35,P10-DSC-RDL-R36,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-DSC-RDL-R33 escrito en btz_description_04 | hijo Project P10-DSC-RDL-R34 escrito en btz_description_05 | hijo Project P10-DSC-RDL-R35 escrito en btz_description_06 | hijo Project P10-DSC-RDL-R36 escrito en btz_description_07,NO
378146,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c522,P10-DSC-LGC-ZARANDAS,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-ZARANDAS,P10-DSC-RSC-SF07,P10-DSC-RSC-SF06,P10-DSC-RSC-SF23,P10-DSC-RSC-SF21,P10-DSC-RSC-SF22,P10-DSC-RSC-SF24,P10-DSC-ZRN-Z01,P10-DSC-ZRN-Z02,P10-DSC-ZRN-Z03,P10-DSC-ZRN-Z04,P10-DSC-ZRN-Z05,P10-DSC-ZRN-Z06,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-DSC-RSC-SF07 escrito en btz_description_04 | hijo Project P10-DSC-RSC-SF06 escrito en btz_description_05 | hijo Project P10-DSC-RSC-SF23 escrito en btz_description_06 | hijo Project P10-DSC-RSC-SF21 escrito en btz_description_07 | hijo Project P10-DSC-RSC-SF22 escrito en btz_description_08 | hijo Project P10-DSC-RSC-SF24 escrito en btz_description_09 | hijo Project P10-DSC-ZRN-Z01 escrito en btz_description_10 | hijo Project P10-DSC-ZRN-Z02 escrito en btz_description_11 | hijo Project P10-DSC-ZRN-Z03 escrito en btz_description_12 | hijo Project P10-DSC-ZRN-Z04 escrito en btz_description_13 | hijo Project P10-DSC-ZRN-Z05 escrito en btz_description_14 | hijo Project P10-DSC-ZRN-Z06 escrito en btz_description_15,NO
282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10-EXT-LGC-BMB,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-EXT-M202,P10-EXT-LGC-BMB RECIRCULACION,P10-SRA-BMB-BO70,P10-SRA-BMB-JOCKEY,P10-SRA-BMB-BOIN,P10-SRA-BMB-DOSIF,P10-EXT-BMB-P439B,P10-PLL-BMB-BS03,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-SRA-BMB-BO70 escrito en btz_description_05 | hijo Project P10-SRA-BMB-JOCKEY escrito en btz_description_06 | hijo Project P10-SRA-BMB-BOIN escrito en btz_description_07 | hijo Project P10-SRA-BMB-DOSIF escrito en btz_description_08 | hijo Project P10-EXT-BMB-P439B escrito en btz_description_09 | hijo Project P10-PLL-BMB-BS03 escrito en btz_description_10,NO
282755,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045083,P10-EXT-LGC-HIDROCICLONES,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-EXT-M202,P10-EXT-LGC-HIDROCICLONES,P10-EXT-HDR-HCP01,P10-EXT-HDR-HCP02,P10-EXT-HDR-HCP03,P10-EXT-HDR-HCS01E,P10-EXT-HDR-HCS01O,P10-EXT-HDR-HCS02E,P10-EXT-HDR-HCS02O,P10-EXT-HDR-HCS03E,P10-EXT-HDR-HCS03O,P10-EXT-HDR-HCS04E,P10-EXT-HDR-HCS04O,P10-EXT-HDR-HCS05E,P10-EXT-HDR-HCS05O,P10-EXT-HDR-HCS06E,P10-EXT-HDR-HCS06O,P10-EXT-HDR-HCS07E,P10-EXT-HDR-HCS07O,P10-EXT-HDR-HCS08E,P10-EXT-HDR-HCS08O,P10-EXT-HDR-HCS09E,P10-EXT-HDR-HCS09O,P10-EXT-HDR-HCS10E,P10-EXT-HDR-HCS10O,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-EXT-HDR-HCP01 escrito en btz_description_05 | hijo Project P10-EXT-HDR-HCP02 escrito en btz_description_06 | hijo Project P10-EXT-HDR-HCP03 escrito en btz_description_07 | hijo Project P10-EXT-HDR-HCS01E escrito en btz_description_08 | hijo Project P10-EXT-HDR-HCS01O escrito en btz_description_09 | hijo Project P10-EXT-HDR-HCS02E escrito en btz_description_10 | hijo Project P10-EXT-HDR-HCS02O escrito en btz_description_11 | hijo Project P10-EXT-HDR-HCS03E escrito en btz_description_12 | hijo Project P10-EXT-HDR-HCS03O escrito en btz_description_13 | hijo Project P10-EXT-HDR-HCS04E escrito en btz_description_14 | hijo Project P10-EXT-HDR-HCS04O escrito en btz_description_15 | hijo Project P10-EXT-HDR-HCS05E escrito en btz_description_16 | hijo Project P10-EXT-HDR-HCS05O escrito en btz_description_17 | hijo Project P10-EXT-HDR-HCS06E escrito en btz_description_18 | hijo Project P10-EXT-HDR-HCS06O escrito en btz_description_19 | hijo Project P10-EXT-HDR-HCS07E escrito en btz_description_20 | hijo Project P10-EXT-HDR-HCS07O escrito en btz_description_21 | hijo Project P10-EXT-HDR-HCS08E escrito en btz_description_22 | hijo Project P10-EXT-HDR-HCS08O escrito en btz_description_23 | hijo Project P10-EXT-HDR-HCS09E escrito en btz_description_24 | hijo Project P10-EXT-HDR-HCS09O escrito en btz_description_25 | hijo Project P10-EXT-HDR-HCS10E escrito en btz_description_26 | hijo Project P10-EXT-HDR-HCS10O escrito en btz_description_27,NO
282997,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045175,P10-EXT-LGC-DESGOMADO,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESGOMADO,P10-EXT-BMB-PSODA,P10-EXT-BMB-P435A,P10-EXT-CLT-HX445,P10-EXT-DSG-C425,P10-EXT-DSG-C430,P10-EXT-DSG-C435,P10-EXT-ENF-HX460,P10-EXT-INT-HX440,P10-EXT-BMB-P439,P10-EXT-SCD-V450,P10-EXT-BMB-P450,P10-EXT-TNQ-V415,P10-EXT-BMB-P415,P10-EXT-TNQ-HX435,P10-EXT-BMB-P435,P10-EXT-TNQ-V495,P10-EXT-BMB-P491,P10-EXT-TNQ-V410,P10-EXT-AGT-A420C,P10-EXT-BMB-P410,P10-EXT-TNQ-V420,P10-EXT-AGT-A420,P10-EXT-VLV-VSA420,P10-EXT-TNQ-V420B,P10-EXT-TNQ-TK492,P10-EXT-BMB-P492,P10-EXT-VLV-SOV430,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-EXT-BMB-PSODA escrito en btz_description_04 | hijo Project P10-EXT-BMB-P435A escrito en btz_description_05 | hijo Project P10-EXT-CLT-HX445 escrito en btz_description_06 | hijo Project P10-EXT-DSG-C425 escrito en btz_description_07 | hijo Project P10-EXT-DSG-C430 escrito en btz_description_08 | hijo Project P10-EXT-DSG-C435 escrito en btz_description_09 | hijo Project P10-EXT-ENF-HX460 escrito en btz_description_10 | hijo Project P10-EXT-INT-HX440 escrito en btz_description_11 | hijo Project P10-EXT-BMB-P439 escrito en btz_description_12 | hijo Project P10-EXT-SCD-V450 escrito en btz_description_13 | hijo Project P10-EXT-BMB-P450 escrito en btz_description_14 | hijo Project P10-EXT-TNQ-V415 escrito en btz_description_15 | hijo Project P10-EXT-BMB-P415 escrito en btz_description_16 | hijo Project P10-EXT-TNQ-HX435 escrito en btz_description_17 | hijo Project P10-EXT-BMB-P435 escrito en btz_description_18 | hijo Project P10-EXT-TNQ-V495 escrito en btz_description_19 | hijo Project P10-EXT-BMB-P491 escrito en btz_description_20 | hijo Project P10-EXT-TNQ-V410 escrito en btz_description_21 | hijo Project P10-EXT-AGT-A420C escrito en btz_description_22 | hijo Project P10-EXT-BMB-P410 escrito en btz_description_23 | hijo Project P10-EXT-TNQ-V420 escrito en btz_description_24 | hijo Project P10-EXT-AGT-A420 escrito en btz_description_25 | hijo Project P10-EXT-VLV-VSA420 escrito en btz_description_26 | hijo Project P10-EXT-TNQ-V420B escrito en btz_description_27 | hijo Project P10-EXT-TNQ-TK492 escrito en btz_description_28 | hijo Project P10-EXT-BMB-P492 escrito en btz_description_29 | hijo Project P10-EXT-VLV-SOV430 escrito en btz_description_30 | hijo Project P10-EXT-VLV-SOV426 asociado solo por CSV externo,NO
282969,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045159,P10-EXT-LGC-DESTILACION,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-DESTILACION,P10-EXT-EVP-HX301,P10-EXT-CND-HX305,P10-EXT-CND-HX304,P10-EXT-EVP-HX307,P10-EXT-CND-HX308,P10-EXT-EVP-HX309,P10-EXT-BMB-P310,P10-EXT-INT-HX314,P10-EXT-STR-V311,P10-EXT-BMB-P313B,P10-EXT-BMB-P313,P10-EXT-CND-HX312,P10-EXT-VLV-TCV-307,P10-EXT-VLV-TCV-309,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-EXT-EVP-HX301 escrito en btz_description_04 | hijo Project P10-EXT-CND-HX305 escrito en btz_description_05 | hijo Project P10-EXT-CND-HX304 escrito en btz_description_06 | hijo Project P10-EXT-EVP-HX307 escrito en btz_description_07 | hijo Project P10-EXT-CND-HX308 escrito en btz_description_08 | hijo Project P10-EXT-EVP-HX309 escrito en btz_description_09 | hijo Project P10-EXT-BMB-P310 escrito en btz_description_10 | hijo Project P10-EXT-INT-HX314 escrito en btz_description_11 | hijo Project P10-EXT-STR-V311 escrito en btz_description_12 | hijo Project P10-EXT-BMB-P313B escrito en btz_description_13 | hijo Project P10-EXT-BMB-P313 escrito en btz_description_14 | hijo Project P10-EXT-CND-HX312 escrito en btz_description_15 | hijo Project P10-EXT-VLV-TCV-307 escrito en btz_description_16 | hijo Project P10-EXT-VLV-TCV-309 escrito en btz_description_17,NO
282804,a027b4da-4e9c-44ad-b607-5fb48d4c7061-000450b4,P10-EXT-LGC-RECUP,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-RECUP GASES,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit,NO
282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10-EXT-LGC-SOLVENTE,P10,P10-EXT-LGC-EXTRACCION,P10-EXT-LGC-SOLVENTE,P10-EXT-BMB-P336,P10-EXT-BMB-P351,P10-EXT-PRC-HX302,P10-EXT-INT-V338,P10-EXT-RHV-HX337,P10-EXT-TNQ-V330,P10-EXT-BMB-P331,P10-EXT-BMB-P335,P10-EXT-TNQ-V351,P10-EXT-TNQ-TKD,P10-EXT-BMB-P335A,P10-EXT-AH101,P10-EXT-AH103,P10-EXT-AH102,P10-EXT-AH105,P10-EXT-AH104,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project P10-EXT-BMB-P336 escrito en btz_description_04 | hijo Project P10-EXT-BMB-P351 escrito en btz_description_05 | hijo Project P10-EXT-PRC-HX302 escrito en btz_description_06 | hijo Project P10-EXT-INT-V338 escrito en btz_description_07 | hijo Project P10-EXT-RHV-HX337 escrito en btz_description_08 | hijo Project P10-EXT-TNQ-V330 escrito en btz_description_09 | hijo Project P10-EXT-BMB-P331 escrito en btz_description_10 | hijo Project P10-EXT-BMB-P335 escrito en btz_description_11 | hijo Project P10-EXT-TNQ-V351 escrito en btz_description_12 | hijo Project P10-EXT-TNQ-TKD escrito en btz_description_13 | hijo Project P10-EXT-BMB-P335A escrito en btz_description_14 | hijo Project P10-EXT-AH101 escrito en btz_description_15 | hijo Project P10-EXT-AH103 escrito en btz_description_16 | hijo Project P10-EXT-AH102 escrito en btz_description_17 | hijo Project P10-EXT-AH105 escrito en btz_description_18 | hijo Project P10-EXT-AH104 escrito en btz_description_19,NO
