estado_match,tipo_asociacion,codigo_project,descripcion_project,project_id,outline_level,outline_number,parent_task_name,parent_codigo_project,ancestor_codes_project,ancestor_names_project,project_path,element_id_revit,unique_id_revit,category,family,type,name,btz_numero_activo,btz_path_actual,parametro_match,contenedor_sugerido_element_id,contenedor_sugerido_unique_id,contenedor_sugerido_path,contenedor_sugerido_nivel,slots_libres_contenedor,requiere_split_por_slots,puntaje_contenedor,segundo_puntaje_contenedor,diferencia_puntaje,criterio_contenedor,candidatos_contenedor,ancestro_project_usado,observacion,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,estado_confirmacion
match_elemento_puntual,elemento_puntual,P10-DSC-LGC-MOLINO,CONJUNTO DE MOLINOS DESCASCARADO P10,41,3,41,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,btz_description_03,,,,,,,,,,,,,Coincidencia exacta única con elemento Revit.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-BMB-BS02,BOMBA SOPLANTE BS02,42,4,42,P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-BMB-BS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-CCL-CBS02,CICLON BOMBA SOPLANTE BS02,43,5,43,P10-DSC-BMB-BS02,P10-DSC-BMB-BS02,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-BMB-BS02,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-BMB-BS02,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-BMB-BS02 > P10-DSC-CCL-CBS02,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-MLN-M05,MOLINO A MARTILLO DE CASC. 05 LADO ESTE,44,4,44,P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-ALM-MA05,ALIM. MOLINO A MARTILLO M05,45,5,45,P10-DSC-MLN-M05,P10-DSC-MLN-M05,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05 > P10-DSC-ALM-MA05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-RSC-MSF05,SIN FIN MSF05 DESCARGA DE M05,46,5,46,P10-DSC-MLN-M05,P10-DSC-MLN-M05,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M05 > P10-DSC-RSC-MSF05,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-MLN-M06,MOLINO A MARTILLO DE CASC. 06 LADO OESTE,47,4,47,P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-ALM-MA06,ALIM. MOLINO A MARTILLO M06,48,5,48,P10-DSC-MLN-M06,P10-DSC-MLN-M06,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06 > P10-DSC-ALM-MA06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-RSC-MSF06,SIN FIN MSF06 DESCARGA DE M06,49,5,49,P10-DSC-MLN-M06,P10-DSC-MLN-M06,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-MLN-M06 > P10-DSC-RSC-MSF06,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-RSC-SF15,SIN FIN A TOLVA DE SOPLANTE BS02,50,4,50,P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-RSC-SF15,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-VLV-VR17,VALVULA ROTATIVA  VR17 RECIBER DE BS01,51,4,51,P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-VLV-VR17,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-VLV-VR15A,VALVULA ROTATIVA CONJUNTO COMPLETO VR15A,52,4,52,P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO > P10-DSC-VLV-VR15A,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,contenedor_scoring,378617,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c6f9,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,3,27,NO,200,0,200,ancestro_project_exacto,378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO,P10-DSC-LGC-MOLINO,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-MOLINO.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-MOLINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
match_elemento_puntual,elemento_puntual,P10-DSC-LGC-QUEBRADORES,CONJUNTO DE QUEBRADORES PRIMARIOS P10,53,3,53,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,btz_description_03,,,,,,,,,,,,,Coincidencia exacta única con elemento Revit.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-QBR-Q11,QUEBRADOR 11 DESC 1RA PASADA (COMPARTE CAIDA C/Q15),54,4,54,P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q11,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_scoring,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,3,27,NO,200,0,200,ancestro_project_exacto,378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-QUEBRADORES,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-QUEBRADORES.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-QBR-QA11,ALIMENADOR Q11 DESC 1RA PASADA,55,5,55,P10-DSC-QBR-Q11,P10-DSC-QBR-Q11,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q11,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q11,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q11 > P10-DSC-QBR-QA11,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_scoring,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,3,27,NO,200,0,200,ancestro_project_exacto,378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-QUEBRADORES,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-QUEBRADORES.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-QBR-Q12,QUEBRADOR 12 DESC 1RA PASADA (COMPARTE CAIDA C/Q16),56,4,56,P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q12,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_scoring,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,3,27,NO,200,0,200,ancestro_project_exacto,378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-QUEBRADORES,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-QUEBRADORES.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,P10-DSC-QBR-QA12,ALIMENADOR Q12 DESC 1RA PASADA,57,5,57,P10-DSC-QBR-Q12,P10-DSC-QBR-Q12,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q12,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q12,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES > P10-DSC-QBR-Q12 > P10-DSC-QBR-QA12,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,contenedor_scoring,378268,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c59c,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,3,27,NO,200,0,200,ancestro_project_exacto,378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES,P10-DSC-LGC-QUEBRADORES,Sin match puntual; contenedor único por ancestro Project P10-DSC-LGC-QUEBRADORES.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-QUEBRADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
