element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor
153025,e873c32e-5e0c-4f36-b2a7-48d4917bce06-000255c1,Walls,,Genérico - 200 mm,Genérico - 200 mm,,CIR_01_V01;CIR_03_V01;CIR_03_V02;CIR_03_V03;VUE_02_V01;VUE_04_V01;VUE_04_V02;VUE_04_V03;CIR_02_V01;CIR_04_V01;CIR_04_V03;CIR_05_V03;MIX_02_V01;MIX_04_V01;MIX_04_V03,,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,TE-DDV-BLN-BALANZA VAGONES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL > TE-DDV-BLN-BALANZA VAGONES,4
153117,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002561d,Walls,,Genérico - 200 mm,Genérico - 200 mm,,CIR_01_V01;CIR_03_V01;CIR_03_V02;CIR_03_V03;VUE_02_V01;VUE_04_V01;VUE_04_V02;VUE_04_V03;CIR_02_V01;CIR_04_V01;CIR_04_V03;CIR_05_V03;MIX_02_V01;MIX_04_V01;MIX_04_V03,,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,TE-EXP-LGC-SECTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL > TE-EXP-LGC-SECTOR,4
153162,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002564a,Walls,,Genérico - 200 mm,Genérico - 200 mm,,CIR_01_V01;CIR_03_V01;CIR_03_V02;CIR_03_V03;VUE_02_V01;VUE_04_V01;VUE_04_V02;VUE_04_V03;CIR_02_V01;CIR_04_V01;CIR_04_V03;CIR_05_V03;MIX_02_V01;MIX_04_V01;MIX_04_V03,,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,TE-EXP-BRR-BARR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL > TE-EXP-BRR-BARR,4
164153,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028139,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 1,,TE-ALM-LGC-ALMACENAJE (SILOS,TE-ALM-VNT-VBRFMSV,TE-ALM-VNT-VEFMAPELL,TE-ALM-CLD-CELDA,TE-ALM-LGC-VALV,TE-ALM-VLV-V105,TE-ALM-VLV-V110,TE-ALM-VLV-V115,TE-ALM-VLV-V120,TE-ALM-VLV-V125,TE-ALM-CCM-CCMBC2,TE-ALM-VLV-V202,TE-ALM-VLV-V207,TE-ALM-VLV-V212,TE-ALM-VLV-V217,TE-ALM-BMB-BDN3,TE-ALM-FLT-FMACSC3INF,TE-ALM-VLV-V304,TE-ALM-VLV-V309,TE-ALM-VLV-V314,TE-ALM-VLV-V319,TE-ALM-VLV-V324,TE-ALM-VLV-V329,TE-ALM-VNT-VECSC3-04,TE-ALM-VNT-VECSC3-09,TE-ALM-CNT-C12 (CBC4-12,TE-ALM-CNT-C7 (C4C7,TE-ALM-CNT-C9 (C9SC4,TE-ALM-RSC-RFMC4,TE-ALM-VLV-VC402,TE-ALM-VLV-VC407,TE-ALM-VLV-VC412,TE-ALM-VLV-VC417,TE-ALM-VLV-VC422,TE-ALM-VLV-VC427,TE-ALM-VLV-VC432,TE-ALM-VLV-VC437,TE-ALM-VLV-VC442,TE-ALM-VLV-VC447,TE-ALM-VLV-VC452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-ALM-LGC-ALMACENAJE (CELDAS) > TE-ALM-CLD-CELDA 1 > TE-ALM-LGC-ALMACENAJE (SILOS > TE-ALM-VNT-VBRFMSV > TE-ALM-VNT-VEFMAPELL > TE-ALM-CLD-CELDA > TE-ALM-LGC-VALV > TE-ALM-VLV-V105 > TE-ALM-VLV-V110 > TE-ALM-VLV-V115 > TE-ALM-VLV-V120 > TE-ALM-VLV-V125 > TE-ALM-CCM-CCMBC2 > TE-ALM-VLV-V202 > TE-ALM-VLV-V207 > TE-ALM-VLV-V212 > TE-ALM-VLV-V217 > TE-ALM-BMB-BDN3 > TE-ALM-FLT-FMACSC3INF > TE-ALM-VLV-V304 > TE-ALM-VLV-V309 > TE-ALM-VLV-V314 > TE-ALM-VLV-V319 > TE-ALM-VLV-V324 > TE-ALM-VLV-V329 > TE-ALM-VNT-VECSC3-04 > TE-ALM-VNT-VECSC3-09 > TE-ALM-CNT-C12 (CBC4-12 > TE-ALM-CNT-C7 (C4C7 > TE-ALM-CNT-C9 (C9SC4 > TE-ALM-RSC-RFMC4 > TE-ALM-VLV-VC402 > TE-ALM-VLV-VC407 > TE-ALM-VLV-VC412 > TE-ALM-VLV-VC417 > TE-ALM-VLV-VC422 > TE-ALM-VLV-VC427 > TE-ALM-VLV-VC432 > TE-ALM-VLV-VC437 > TE-ALM-VLV-VC442 > TE-ALM-VLV-VC447 > TE-ALM-VLV-VC452,43
164356,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028204,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,PTD_A3_V03,,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 2,,TE-ALM-FLT-FMAPELL,TE-ALM-VNT-VEFMSV,TE-ALM-BMB-BDN1,TE-ALM-VLV-V101,TE-ALM-VLV-V106,TE-ALM-VLV-V111,TE-ALM-VLV-V116,TE-ALM-VLV-V121,TE-TNL-CNT-CBC1,TE-ALM-CNT-CBC2,TE-ALM-VLV-V203,TE-ALM-VLV-V208,TE-ALM-VLV-V213,TE-ALM-VLV-V218,TE-ALM-CCM-CCMBC3,TE-ALM-VNT-VLFMACSC3INF,TE-ALM-VLV-V305,TE-ALM-VLV-V310,TE-ALM-VLV-V315,TE-ALM-VLV-V320,TE-ALM-VLV-V325,TE-ALM-SIS-VENTICELDA3,TE-ALM-VNT-VECSC3-05,TE-ALM-VNT-VECSC3-10,TE-ALM-CNT-C13 (CBC4-13,TE-ALM-VLV-VG19,TE-ALM-CRR-CTC9,TE-ALM-VLV-VRFMC4,TE-ALM-VLV-VC403,TE-ALM-VLV-VC408,TE-ALM-VLV-VC413,TE-ALM-VLV-VC418,TE-ALM-VLV-VC423,TE-ALM-VLV-VC428,TE-ALM-VLV-VC433,TE-ALM-VLV-VC438,TE-ALM-VLV-VC443,TE-ALM-VLV-VC448,TE-ALM-VLV-VC453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-ALM-LGC-ALMACENAJE (CELDAS) > TE-ALM-CLD-CELDA 2 > TE-ALM-FLT-FMAPELL > TE-ALM-VNT-VEFMSV > TE-ALM-BMB-BDN1 > TE-ALM-VLV-V101 > TE-ALM-VLV-V106 > TE-ALM-VLV-V111 > TE-ALM-VLV-V116 > TE-ALM-VLV-V121 > TE-TNL-CNT-CBC1 > TE-ALM-CNT-CBC2 > TE-ALM-VLV-V203 > TE-ALM-VLV-V208 > TE-ALM-VLV-V213 > TE-ALM-VLV-V218 > TE-ALM-CCM-CCMBC3 > TE-ALM-VNT-VLFMACSC3INF > TE-ALM-VLV-V305 > TE-ALM-VLV-V310 > TE-ALM-VLV-V315 > TE-ALM-VLV-V320 > TE-ALM-VLV-V325 > TE-ALM-SIS-VENTICELDA3 > TE-ALM-VNT-VECSC3-05 > TE-ALM-VNT-VECSC3-10 > TE-ALM-CNT-C13 (CBC4-13 > TE-ALM-VLV-VG19 > TE-ALM-CRR-CTC9 > TE-ALM-VLV-VRFMC4 > TE-ALM-VLV-VC403 > TE-ALM-VLV-VC408 > TE-ALM-VLV-VC413 > TE-ALM-VLV-VC418 > TE-ALM-VLV-VC423 > TE-ALM-VLV-VC428 > TE-ALM-VLV-VC433 > TE-ALM-VLV-VC438 > TE-ALM-VLV-VC443 > TE-ALM-VLV-VC448 > TE-ALM-VLV-VC453,42
166634,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028aea,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,VUE_02_V01;CIR_02_V01;CIR_04_V01;CIR_04_V03;CIR_03_V01;CIR_03_V02;CIR_04_V02;CIR_05_V01;CIR_05_V02;CIR_05_V03;MIX_02_V01,,,TE-ADM-LGC-EDIFICIOS VARIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE-ADM-LGC-EDIFICIOS VARIOS,1
166752,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028b60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,TE-porteria,TE-ADM-EDF-PORTERIA,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-PORTERIA,,TE-ADM-EDF-BICICLETERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-PORTERIA > TE-ADM-EDF-BICICLETERO,4
168183,e873c32e-5e0c-4f36-b2a7-48d4917bce06-000290f7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,TE-oficinas,,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-OFICINAS,3
168280,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029158,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-OFICINAS,3
170458,e873c32e-5e0c-4f36-b2a7-48d4917bce06-000299da,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,TE-pv5,TE-DDC-PTV-PV5,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV5,Es exclusivamente de la secadora,,TE-DDC-VNT-VFMDDC,TE-DDC-CHD-CHPV5,TE-DDC-CLZ-CPV5,TE-DDC-CHD-CHCALZPV05,TE-DDC-FLT-FMAPV5,TE-DDC-SIS-DUSTMASTER-PV5,TE-DDC-VLV-PV5A,TE-DDC-VLV-PV5B,TE-DDC-VLV-PV5C,TE-DDC-VNT-VEFMAPV5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE > TE-DDC-LGC-DESCARGA CAMIONES > TE-DDC-PTV-PV5 > Es exclusivamente de la secadora > TE-DDC-VNT-VFMDDC > TE-DDC-CHD-CHPV5 > TE-DDC-CLZ-CPV5 > TE-DDC-CHD-CHCALZPV05 > TE-DDC-FLT-FMAPV5 > TE-DDC-SIS-DUSTMASTER-PV5 > TE-DDC-VLV-PV5A > TE-DDC-VLV-PV5B > TE-DDC-VLV-PV5C > TE-DDC-VNT-VEFMAPV5,14
