element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor,inconsistencia_tipo,inconsistencia_mensaje
166634,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028aea,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,VUE_02_V01;CIR_02_V01;CIR_04_V01;CIR_04_V03;CIR_03_V01;CIR_03_V02;CIR_04_V02;CIR_05_V01;CIR_05_V02;CIR_05_V03;MIX_02_V01,,,TE-ADM-LGC-EDIFICIOS VARIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE-ADM-LGC-EDIFICIOS VARIOS,1,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
173600,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a620,Generic Models,Silo diario,Silo diario,Silo diario,,,PP-PRL-SLO-SA00,,,PP-PRL-LGC-SILOS,PP-PRL-SLO-SA00,PP-PRL-VLV-VG01,PP-PRL-VLV-VG02,PP-PRL-VLV-VG03,PP-PRL-VLV-VG04,PP-PRL-VLV-VG05,PP-PRL-VLV-VG06,PP-PRL-VLV-VG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-PRL-LGC-SILOS > PP-PRL-SLO-SA00 > PP-PRL-VLV-VG01 > PP-PRL-VLV-VG02 > PP-PRL-VLV-VG03 > PP-PRL-VLV-VG04 > PP-PRL-VLV-VG05 > PP-PRL-VLV-VG06 > PP-PRL-VLV-VG07,9,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
238634,25d0f85d-57da-4cae-8ca2-9b682363407e-0003a42a,Generic Models,puert3,puert,puert,,,,,TE-EMB-LGC-SECTOR EMBARQUE,,,TE-EMB-CÑO-CAÑONASPERSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-CÑO-CAÑONASPERSOR,2,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
286288,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045e50,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-EXPANDIDO,,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-EXPANDIDO,PP-PRP-ENF-EE03,PP-PRP-VNT-VE11,PP-PRP-CCL-CVE11,PP-PRP-VLV-VR11A,PP-PRP-VNT-VE12,PP-PRP-CCL-CVE12,PP-PRP-VLV-VR12A,PP-PRP-ENF-EE04,PP-PRP-VNT-VE13,PP-PRP-CCL-CVE13,PP-PRP-VLV-VR13A,PP-PRP-VNT-VE14,PP-PRP-CCL-CVE14,PP-PRP-VLV-VR14A,PP-PRP-EXP-E01,PP-PRP-ALM-EA01,PP-PRP-EXP-E02,PP-PRP-ALM-EA02,PP-PRP-EXP-E03,PP-PRP-ALM-EA03,PP-PRP-EXP-E04,PP-PRP-ALM-EA04,PP-PRP-EXP-E05,PP-PRP-ALM-EA05,PP-PRP-EXP-E06,PP-PRP-ALM-EA06,PP-PRP-RSC-SF05,PP-PRP-RSC-SF07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-PRP-LGC-PREPARACION > PP-PRP-LGC-EXPANDIDO > PP-PRP-ENF-EE03 > PP-PRP-VNT-VE11 > PP-PRP-CCL-CVE11 > PP-PRP-VLV-VR11A > PP-PRP-VNT-VE12 > PP-PRP-CCL-CVE12 > PP-PRP-VLV-VR12A > PP-PRP-ENF-EE04 > PP-PRP-VNT-VE13 > PP-PRP-CCL-CVE13 > PP-PRP-VLV-VR13A > PP-PRP-VNT-VE14 > PP-PRP-CCL-CVE14 > PP-PRP-VLV-VR14A > PP-PRP-EXP-E01 > PP-PRP-ALM-EA01 > PP-PRP-EXP-E02 > PP-PRP-ALM-EA02 > PP-PRP-EXP-E03 > PP-PRP-ALM-EA03 > PP-PRP-EXP-E04 > PP-PRP-ALM-EA04 > PP-PRP-EXP-E05 > PP-PRP-ALM-EA05 > PP-PRP-EXP-E06 > PP-PRP-ALM-EA06 > PP-PRP-RSC-SF05 > PP-PRP-RSC-SF07,30,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
286415,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045ecf,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-LAMINADORES,,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-LAMINADORES,,PP-PRP-BMB-DBO01,PP-PRP-VLV-DVR01,PP-PRP-VNT-DVE02,PP-PRP-RSC-DSF01,PP-PRP-VLV-VSBH,PP-PRP-TRF-TRA4,PP-PRP-LMN-LP01,PP-PRP-ALM-LA01,PP-PRP-LMN-LP02,PP-PRP-ALM-LA02,PP-PRP-LMN-LP03,PP-PRP-ALM-LA03,PP-PRP-LMN-LP04,PP-PRP-ALM-LA04,PP-PRP-LMN-LP05,PP-PRP-ALM-LA05,PP-PRP-LMN-LP06,PP-PRP-ALM-LA06,PP-PRP-LMN-LP07,PP-PRP-ALM-LA07,PP-PRP-LMN-LP08,PP-PRP-ALM-LA08,PP-PRP-LMN-LP09,PP-PRP-ALM-LA09,PP-PRP-LMN-LP10,PP-PRP-ALM-LA10,PP-PRP-LMN-LP11,PP-PRP-ALM-LA11,PP-PRP-LMN-LP12,PP-PRP-ALM-LA12,PP-PRP-LMN-LP13,PP-PRP-ALM-LA13,PP-PRP-LMN-LP14,PP-PRP-ALM-LA14,PP-PRP-RCT-REC01,PP-PRP-RCT-REC02,PP-PRP-RSC-DSF08,PP-PRP-VNT-VE09,PP-PRP-CCL-CVE09,PP-PRP-VLV-VR09,PP-PRP-VNT-VE10,PP-PRP-CCL-CVE10,PP-PRP-VLV-VR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-PRP-LGC-PREPARACION > PP-PRP-LGC-LAMINADORES > PP-PRP-BMB-DBO01 > PP-PRP-VLV-DVR01 > PP-PRP-VNT-DVE02 > PP-PRP-RSC-DSF01 > PP-PRP-VLV-VSBH > PP-PRP-TRF-TRA4 > PP-PRP-LMN-LP01 > PP-PRP-ALM-LA01 > PP-PRP-LMN-LP02 > PP-PRP-ALM-LA02 > PP-PRP-LMN-LP03 > PP-PRP-ALM-LA03 > PP-PRP-LMN-LP04 > PP-PRP-ALM-LA04 > PP-PRP-LMN-LP05 > PP-PRP-ALM-LA05 > PP-PRP-LMN-LP06 > PP-PRP-ALM-LA06 > PP-PRP-LMN-LP07 > PP-PRP-ALM-LA07 > PP-PRP-LMN-LP08 > PP-PRP-ALM-LA08 > PP-PRP-LMN-LP09 > PP-PRP-ALM-LA09 > PP-PRP-LMN-LP10 > PP-PRP-ALM-LA10 > PP-PRP-LMN-LP11 > PP-PRP-ALM-LA11 > PP-PRP-LMN-LP12 > PP-PRP-ALM-LA12 > PP-PRP-LMN-LP13 > PP-PRP-ALM-LA13 > PP-PRP-LMN-LP14 > PP-PRP-ALM-LA14 > PP-PRP-RCT-REC01 > PP-PRP-RCT-REC02 > PP-PRP-RSC-DSF08 > PP-PRP-VNT-VE09 > PP-PRP-CCL-CVE09 > PP-PRP-VLV-VR09 > PP-PRP-VNT-VE10 > PP-PRP-CCL-CVE10 > PP-PRP-VLV-VR10,45,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
286467,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045f03,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-QUEBRADORES,,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-QUEBRADORES,PP-PRP-QBR-QS01,PP-PRP-ALM-QA01,PP-PRP-QBR-QS02,PP-PRP-ALM-QA02,PP-PRP-QBR-QS03,PP-PRP-ALM-QA03,PP-PRP-QBR-QS04,PP-PRP-ALM-QA04,PP-PRP-QBR-QS05,PP-PRP-ALM-QA05,PP-PRP-QBR-QS06,PP-PRP-ALM-QA06,PP-PRP-QBR-QS07,PP-PRP-ALM-QA07,PP-PRP-QBR-QS08,PP-PRP-ALM-QA08,PP-PRP-QBR-QS09,PP-PRP-ALM-QA09,PP-PRP-QBR-QS10,PP-PRP-ALM-QA10,PP-PRP-QBR-QS11,PP-PRP-ALM-QA11,PP-PRP-QBR-QS12,PP-PRP-ALM-QA12,PP-PRP-RSC-S20,PP-PRP-TLV-TLVRETOR,PP-PRP-VLV-VG08,PP-PRP-VLV-VR05A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-PRP-LGC-PREPARACION > PP-PRP-LGC-QUEBRADORES > PP-PRP-QBR-QS01 > PP-PRP-ALM-QA01 > PP-PRP-QBR-QS02 > PP-PRP-ALM-QA02 > PP-PRP-QBR-QS03 > PP-PRP-ALM-QA03 > PP-PRP-QBR-QS04 > PP-PRP-ALM-QA04 > PP-PRP-QBR-QS05 > PP-PRP-ALM-QA05 > PP-PRP-QBR-QS06 > PP-PRP-ALM-QA06 > PP-PRP-QBR-QS07 > PP-PRP-ALM-QA07 > PP-PRP-QBR-QS08 > PP-PRP-ALM-QA08 > PP-PRP-QBR-QS09 > PP-PRP-ALM-QA09 > PP-PRP-QBR-QS10 > PP-PRP-ALM-QA10 > PP-PRP-QBR-QS11 > PP-PRP-ALM-QA11 > PP-PRP-QBR-QS12 > PP-PRP-ALM-QA12 > PP-PRP-RSC-S20 > PP-PRP-TLV-TLVRETOR > PP-PRP-VLV-VG08 > PP-PRP-VLV-VR05A,30,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
286624,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045fa0,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-HRN-LGC-ENFRIADORES,,PP-HRN-LGC-HARINA,PP-HRN-LGC-ENFRIADORES,PP-HRN-ENF-EG11,PP-HRN-ART-ATER-01,PP-HRN-ART-ATER-02,PP-HRN-ART-ATER-03,PP-HRN-ART-ATER-04,PP-HRN-ART-ATER-05,PP-HRN-ART-ATER-06,PP-HRN-ART-ATER-07,PP-HRN-ART-ATER-08,PP-HRN-ART-ATER-09,PP-HRN-ART-ATER-10,PP-HRN-ART-ATER-11,PP-HRN-ART-ATER-12,PP-HRN-ART-ATER-13,PP-HRN-ART-ATER-14,PP-HRN-ART-ATER-15,PP-HRN-ART-ATER-16,PP-HRN-RSC-S08,PP-HRN-RSC-S10,PP-HRN-VLV-SOV-200,PP-HRN-VNT-VE15,PP-HRN-CCL-CVE15,PP-HRN-VLV-VR15,PP-HRN-VNT-VE16,PP-HRN-CCL-CVE16,PP-HRN-VLV-VR16,PP-HRN-VNT-VE17,PP-HRN-CCL-CVE17,PP-HRN-VLV-VR17,PP-HRN-VNT-VE18,PP-HRN-CCL-CVE18,PP-HRN-VLV-VR18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-HRN-LGC-HARINA > PP-HRN-LGC-ENFRIADORES > PP-HRN-ENF-EG11 > PP-HRN-ART-ATER-01 > PP-HRN-ART-ATER-02 > PP-HRN-ART-ATER-03 > PP-HRN-ART-ATER-04 > PP-HRN-ART-ATER-05 > PP-HRN-ART-ATER-06 > PP-HRN-ART-ATER-07 > PP-HRN-ART-ATER-08 > PP-HRN-ART-ATER-09 > PP-HRN-ART-ATER-10 > PP-HRN-ART-ATER-11 > PP-HRN-ART-ATER-12 > PP-HRN-ART-ATER-13 > PP-HRN-ART-ATER-14 > PP-HRN-ART-ATER-15 > PP-HRN-ART-ATER-16 > PP-HRN-RSC-S08 > PP-HRN-RSC-S10 > PP-HRN-VLV-SOV-200 > PP-HRN-VNT-VE15 > PP-HRN-CCL-CVE15 > PP-HRN-VLV-VR15 > PP-HRN-VNT-VE16 > PP-HRN-CCL-CVE16 > PP-HRN-VLV-VR16 > PP-HRN-VNT-VE17 > PP-HRN-CCL-CVE17 > PP-HRN-VLV-VR17 > PP-HRN-VNT-VE18 > PP-HRN-CCL-CVE18 > PP-HRN-VLV-VR18,34,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
286906,121e7c49-6f80-4698-91bd-c7c5a38e25dd-000460ba,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PRP-LGC-REDLER,,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-REDLER,PP-PRP-RDL-DR01,PP-PRP-RDL-DR05,PP-PRP-RDL-DR06,PP-PRP-RDL-DR07,PP-PRP-RDL-R03,PP-PRP-RDL-R04,PP-PRP-RDL-R05,PP-PRP-RDL-R06,PP-PRP-RDL-R07,PP-PRP-RDL-R08,PP-PRP-RDL-R09,PP-PRP-RDL-R10,PP-PRP-RDL-R11,PP-PRP-RDL-R12,PP-PRP-RDL-R13,PP-PRP-RDL-R14,PP-PRP-RDL-R15,PP-PRP-RDL-R16,PP-PRP-RDL-R17,PP-PRP-RDL-RR01,PP-PRP-RDL-RZ01,PP-PRP-RDL-RZ02,PP-PRP-RDL-RZ03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-PRP-LGC-PREPARACION > PP-PRP-LGC-REDLER > PP-PRP-RDL-DR01 > PP-PRP-RDL-DR05 > PP-PRP-RDL-DR06 > PP-PRP-RDL-DR07 > PP-PRP-RDL-R03 > PP-PRP-RDL-R04 > PP-PRP-RDL-R05 > PP-PRP-RDL-R06 > PP-PRP-RDL-R07 > PP-PRP-RDL-R08 > PP-PRP-RDL-R09 > PP-PRP-RDL-R10 > PP-PRP-RDL-R11 > PP-PRP-RDL-R12 > PP-PRP-RDL-R13 > PP-PRP-RDL-R14 > PP-PRP-RDL-R15 > PP-PRP-RDL-R16 > PP-PRP-RDL-R17 > PP-PRP-RDL-RR01 > PP-PRP-RDL-RZ01 > PP-PRP-RDL-RZ02 > PP-PRP-RDL-RZ03,25,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
350465,166708fd-8f1f-4231-bc3b-68b8d7570667-00055901,Generic Models,Generic Models 2,Generic Models 2,Generic Models 2,,,,secadora a maniouleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,secadora a maniouleo,1,BTZ_Description_01 no es planta válida (secadora a maniouleo),Revisar clasificación BTZ plana del elemento
350532,166708fd-8f1f-4231-bc3b-68b8d7570667-00055944,Generic Models,puert6,puert,puert,,,,,TE-EMB-LGC-SECTOR EMBARQUE,,,TE-EMB-ESC-ESC A BUQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TE-EMB-LGC-SECTOR EMBARQUE > TE-EMB-ESC-ESC A BUQUE,2,BTZ_Description_01 vacío con otros BTZ cargados,Revisar clasificación BTZ plana del elemento
