element_id,unique_id,category,family,type,name,mark,comments,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,btz_path_detectado,cantidad_btz_description_con_valor
173600,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a620,Generic Models,Silo diario,Silo diario,Silo diario,,,PP-PRL-SLO-SA00,,,PP-PRL-LGC-SILOS,PP-PRL-SLO-SA00,PP-PRL-VLV-VG01,PP-PRL-VLV-VG02,PP-PRL-VLV-VG03,PP-PRL-VLV-VG04,PP-PRL-VLV-VG05,PP-PRL-VLV-VG06,PP-PRL-VLV-VG07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP-PRL-LGC-SILOS > PP-PRL-SLO-SA00 > PP-PRL-VLV-VG01 > PP-PRL-VLV-VG02 > PP-PRL-VLV-VG03 > PP-PRL-VLV-VG04 > PP-PRL-VLV-VG05 > PP-PRL-VLV-VG06 > PP-PRL-VLV-VG07,9
179296,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002bc60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-EXT-LGC-DESGOMADO,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESGOMADO,PP-EXT-BMB-BO46,PP-EXT-BMB-BO47,PP-EXT-BMB-BO48 E,PP-EXT-BMB-PSODA,PP-EXT-DSG-CE01 NORTE,PP-EXT-DSG-CE02 SUR,PP-EXT-ENF-EASTOCK1,PP-EXT-RCT-REACTOR,PP-EXT-SCD-SECACEITE,PP-EXT-BMB-BO34,PP-EXT-CLT-CALENT,PP-EXT-CND-COND,PP-EXT-TNQ-TKAGUA DESGOM,PP-EXT-BMB-BO31,PP-EXT-TNQ-TKGOMAS CENTRIF,PP-EXT-BMB-BO33,PP-EXT-BMB-BOGL,PP-EXT-TNQ-TKHIDRATADOR,PP-EXT-AGT-AG01,PP-EXT-TNQ-TKMADURADOR,PP-EXT-AGT-AG02,PP-EXT-TNQ-TKMANIO,PP-EXT-TNQ-TKPULMON ACEITE,PP-EXT-BMB-BO30,PP-EXT-MZC-MEZCDINAMICO (BO28,PP-EXT-TQN-TKGOMAS AUX,PP-EXT-BMB-BO33A,PP-EXT-TQN-TKSODA,PP-EXT-BMB-BO45,PP-EXT-VLV-FCV-540,PP-EXT-VLV-PCV-510,PP-EXT-VLV-TCV-511,PP-EXT-VLV-TCV-512,PP-EXT-TNQ-TKLAV QUIMICO,PP-EXT-BMB-BO28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-LGC-DESGOMADO > PP-EXT-BMB-BO46 > PP-EXT-BMB-BO47 > PP-EXT-BMB-BO48 E > PP-EXT-BMB-PSODA > PP-EXT-DSG-CE01 NORTE > PP-EXT-DSG-CE02 SUR > PP-EXT-ENF-EASTOCK1 > PP-EXT-RCT-REACTOR > PP-EXT-SCD-SECACEITE > PP-EXT-BMB-BO34 > PP-EXT-CLT-CALENT > PP-EXT-CND-COND > PP-EXT-TNQ-TKAGUA DESGOM > PP-EXT-BMB-BO31 > PP-EXT-TNQ-TKGOMAS CENTRIF > PP-EXT-BMB-BO33 > PP-EXT-BMB-BOGL > PP-EXT-TNQ-TKHIDRATADOR > PP-EXT-AGT-AG01 > PP-EXT-TNQ-TKMADURADOR > PP-EXT-AGT-AG02 > PP-EXT-TNQ-TKMANIO > PP-EXT-TNQ-TKPULMON ACEITE > PP-EXT-BMB-BO30 > PP-EXT-MZC-MEZCDINAMICO (BO28 > PP-EXT-TQN-TKGOMAS AUX > PP-EXT-BMB-BO33A > PP-EXT-TQN-TKSODA > PP-EXT-BMB-BO45 > PP-EXT-VLV-FCV-540 > PP-EXT-VLV-PCV-510 > PP-EXT-VLV-TCV-511 > PP-EXT-VLV-TCV-512 > PP-EXT-TNQ-TKLAV QUIMICO > PP-EXT-BMB-BO28,38
179346,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002bc92,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-EXT-EXT-EX01 EXTRACTOR,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-TST-DT01,PP-EXT-BMB-BO27,PP-EXT-HDR-HCSOLV,PP-EXT-RDC-RDT01,PP-EXT-TNQ-TKCOND DT,PP-EXT-BMB-BO40,PP-EXT-BMB-BO41,PP-EXT-TNQ-TKFLASH,PP-EXT-VLV-VSTK FLASHEO,PP-EXT-VLV-EC01,PP-EXT-VLV-SOV-114 VS03,PP-EXT-VLV-TCV-110,PP-EXT-VLV-TCV-111,PP-EXT-VLV-VS01,PP-EXT-VLV-VS02,PP-EXT-SPR-SEPGOTAEXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-TST-DT01 > PP-EXT-BMB-BO27 > PP-EXT-HDR-HCSOLV > PP-EXT-RDC-RDT01 > PP-EXT-TNQ-TKCOND DT > PP-EXT-BMB-BO40 > PP-EXT-BMB-BO41 > PP-EXT-TNQ-TKFLASH > PP-EXT-VLV-VSTK FLASHEO > PP-EXT-VLV-EC01 > PP-EXT-VLV-SOV-114 VS03 > PP-EXT-VLV-TCV-110 > PP-EXT-VLV-TCV-111 > PP-EXT-VLV-VS01 > PP-EXT-VLV-VS02 > PP-EXT-SPR-SEPGOTAEXT,18
183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-DSC-LGC-DESCASCARADO,PP-DSC-SLO-SILO CASCARA,PP-DSC-RSC-DSF06,PP-DSC-RSC-DSF07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-DSC-LGC-DESCASCARADO > PP-DSC-SLO-SILO CASCARA > PP-DSC-RSC-DSF06 > PP-DSC-RSC-DSF07,5
183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-DCCC,PP-DSC-ART-DART01,PP-DSC-CCC-DCCC01,PP-DSC-CCC-DCCC02,PP-DSC-CCC-DCCC03,PP-DSC-CCC-DCCC04,PP-DSC-CCC-DCCC05,PP-DSC-CCC-DCCC06,PP-DSC-CCC-DCCC07,PP-DSC-CCC-DCCC08,PP-DSC-VNT-DVE11,PP-DSC-CCL-CDVE11,PP-DSC-VLV-DVR13,PP-DSC-VNT-DVE12,PP-DSC-CCL-CDVE12,PP-DSC-VLV-DVR14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-DSC-LGC-DESCASCARADO > PP-DSC-LGC-DCCC > PP-DSC-ART-DART01 > PP-DSC-CCC-DCCC01 > PP-DSC-CCC-DCCC02 > PP-DSC-CCC-DCCC03 > PP-DSC-CCC-DCCC04 > PP-DSC-CCC-DCCC05 > PP-DSC-CCC-DCCC06 > PP-DSC-CCC-DCCC07 > PP-DSC-CCC-DCCC08 > PP-DSC-VNT-DVE11 > PP-DSC-CCL-CDVE11 > PP-DSC-VLV-DVR13 > PP-DSC-VNT-DVE12 > PP-DSC-CCL-CDVE12 > PP-DSC-VLV-DVR14,18
184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-DSC-LGC-DESCASCARADO,PP-DSC-LGC-QUEBRADORES,PP-DSC-QBR-DQ01,PP-DSC-ALM-DQA01,PP-DSC-QBR-DQ02,PP-DSC-ALM-DQA02,PP-DSC-QBR-DQ03,PP-DSC-ALM-DQA03,PP-DSC-QBR-DQ04,PP-DSC-ALM-DQA04,PP-DSC-QBR-DQ05,PP-DSC-ALM-DQA05,PP-DSC-QBR-DQ06,PP-DSC-ALM-DQA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-DSC-LGC-DESCASCARADO > PP-DSC-LGC-QUEBRADORES > PP-DSC-QBR-DQ01 > PP-DSC-ALM-DQA01 > PP-DSC-QBR-DQ02 > PP-DSC-ALM-DQA02 > PP-DSC-QBR-DQ03 > PP-DSC-ALM-DQA03 > PP-DSC-QBR-DQ04 > PP-DSC-ALM-DQA04 > PP-DSC-QBR-DQ05 > PP-DSC-ALM-DQA05 > PP-DSC-QBR-DQ06 > PP-DSC-ALM-DQA06,15
184857,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002d219,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,PP-lecitina,,PP,PP-LCT-LGC-LECITINA,PP_LCT_VOTATOR,,PP-LCT-AGT-AG01,PP-LCT-BMB-BE07,PP-LCT-BMB-BE48,PP-LCT-AGT-RTK01,PP-LCT-AGT-RTK02,PP-LCT-AGT-RTK03,PP-LCT-AGT-RTK04,PP-LCT-AGT-RTK05,PP-LCT-BMB-BA05,PP-LCT-BMB-BA04,PP-LCT-BMB-BE11,PP-LCT-BMB-P483,PP-LCT-BMB-BE04,PP-LCT-BMB-BE12,PP-LCT-EVP-EV04,PP-LCT-CLT-CL04,PP-LCT-BMB-BE22,PP-LCT-BMB-BE23,PP-LCT-EVP-EV07,PP-LCT-CLT-CL07,PP-LCT-BMB-BE33,PP-LCT-BMB-BE34,PP-LCT-EVP-EV10,PP-LCT-CLT-CL10,PP-LCT-BMB-BE39,PP-LCT-BMB-BE41,PP-LCT-EVP-EV13,PP-LCT-CLT-CL13,PP-LCT-BMB-BE47,PP-LCT-EVP-EV15,PP-LCT-CLT-CL15,PP-LCT-BMB-BA01,PP-LCT-BMB-BA08,PP-LCT-PLT-PILETA BAROMET,PP-LCT-BMB-BA06,PP-LCT-TRR-TE03,PP-LCT-TRR-TE06,PP-LCT-TRR-TE09,PP-LCT-ENF-VOTATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-LCT-LGC-LECITINA > PP_LCT_VOTATOR > PP-LCT-AGT-AG01 > PP-LCT-BMB-BE07 > PP-LCT-BMB-BE48 > PP-LCT-AGT-RTK01 > PP-LCT-AGT-RTK02 > PP-LCT-AGT-RTK03 > PP-LCT-AGT-RTK04 > PP-LCT-AGT-RTK05 > PP-LCT-BMB-BA05 > PP-LCT-BMB-BA04 > PP-LCT-BMB-BE11 > PP-LCT-BMB-P483 > PP-LCT-BMB-BE04 > PP-LCT-BMB-BE12 > PP-LCT-EVP-EV04 > PP-LCT-CLT-CL04 > PP-LCT-BMB-BE22 > PP-LCT-BMB-BE23 > PP-LCT-EVP-EV07 > PP-LCT-CLT-CL07 > PP-LCT-BMB-BE33 > PP-LCT-BMB-BE34 > PP-LCT-EVP-EV10 > PP-LCT-CLT-CL10 > PP-LCT-BMB-BE39 > PP-LCT-BMB-BE41 > PP-LCT-EVP-EV13 > PP-LCT-CLT-CL13 > PP-LCT-BMB-BE47 > PP-LCT-EVP-EV15 > PP-LCT-CLT-CL15 > PP-LCT-BMB-BA01 > PP-LCT-BMB-BA08 > PP-LCT-PLT-PILETA BAROMET > PP-LCT-BMB-BA06 > PP-LCT-TRR-TE03 > PP-LCT-TRR-TE06 > PP-LCT-TRR-TE09 > PP-LCT-ENF-VOTATOR,42
284902,121e7c49-6f80-4698-91bd-c7c5a38e25dd-000458e6,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-BEAN HEATER,PP-PRP-BHT-DBH01,PP-PRP-BMB-DBO01,PP-PRP-VLV-DBHA01,PP-PRP-VLV-DBHS01,PP-PRP-VNT-DVE01,PP-PRP-CCL-CDVE01,PP-PRP-VLV-DVR01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-PRP-LGC-PREPARACION > PP-PRP-LGC-BEAN HEATER > PP-PRP-BHT-DBH01 > PP-PRP-BMB-DBO01 > PP-PRP-VLV-DBHA01 > PP-PRP-VLV-DBHS01 > PP-PRP-VNT-DVE01 > PP-PRP-CCL-CDVE01 > PP-PRP-VLV-DVR01,10
285276,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045a5c,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-HRN-LGC-NORIAS,PP,PP-HRN-LGC-HARINA,PP-HRN-LGC-TAMIZADORES,PP-HRN-BTD-TAM01,PP-HRN-RSC-RTAM01,PP-HRN-RSC-S17,PP-HRN-BTD-TAM02,PP-HRN-RSC-RTAM02,PP-HRN-RSC-S18,PP-HRN-BTD-TAM03,PP-HRN-RSC-RTAM03,PP-HRN-RSC-S19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-TAMIZADORES > PP-HRN-BTD-TAM01 > PP-HRN-RSC-RTAM01 > PP-HRN-RSC-S17 > PP-HRN-BTD-TAM02 > PP-HRN-RSC-RTAM02 > PP-HRN-RSC-S18 > PP-HRN-BTD-TAM03 > PP-HRN-RSC-RTAM03 > PP-HRN-RSC-S19,12
285377,121e7c49-6f80-4698-91bd-c7c5a38e25dd-00045ac1,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,,PP-PLL-LGC-PELLETERA,PP,PP-PLL-LGC-PELLETERA,PP-PLL-BMB-DBS02,PP-PLL-CCL-CDBS02,PP-PLL-CCL-CDBS02A,PP-PLL-CCL-CDBS02B,PP-PLL-VLV-DVR18,PP-PLL-ENF-DEP,PP-PLL-VNT-DVE14,PP-PLL-CCL-CDVE14,PP-PLL-RSC-DSF04,PP-PLL-VLV-DVR17,PP-PLL-PLL-DP01,PP-PLL-ALM-DPA01,PP-PLL-FRZ-DFP01,PP-PLL-MZC-DMP01,PP-PLL-PLL-DP02,PP-PLL-ALM-DPA02,PP-PLL-FRZ-DFP02,PP-PLL-MZC-DMP02,PP-PLL-RDL-DR19,PP-PLL-RSC-DSF05,PP-PLL-SIS-CTRAL LUB PELL,PP-PLL-TNQ-TKPELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PP > PP-PLL-LGC-PELLETERA > PP-PLL-BMB-DBS02 > PP-PLL-CCL-CDBS02 > PP-PLL-CCL-CDBS02A > PP-PLL-CCL-CDBS02B > PP-PLL-VLV-DVR18 > PP-PLL-ENF-DEP > PP-PLL-VNT-DVE14 > PP-PLL-CCL-CDVE14 > PP-PLL-RSC-DSF04 > PP-PLL-VLV-DVR17 > PP-PLL-PLL-DP01 > PP-PLL-ALM-DPA01 > PP-PLL-FRZ-DFP01 > PP-PLL-MZC-DMP01 > PP-PLL-PLL-DP02 > PP-PLL-ALM-DPA02 > PP-PLL-FRZ-DFP02 > PP-PLL-MZC-DMP02 > PP-PLL-RDL-DR19 > PP-PLL-RSC-DSF05 > PP-PLL-SIS-CTRAL LUB PELL > PP-PLL-TNQ-TKPELL,24
