codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,ancestro_project_usado,tipo_asociacion,puntaje_contenedor,criterio_contenedor,requiere_split_por_slots
P10-EXT-VLV-V3110,VALVULA PRESION/VACÍO DEL TK ENTERRADO (PROTEC TO SEAL) MODELO 836C (SETEO +/- 7 PULG CA),282896,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00045110,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-LGC-SOLVENTE > P10-EXT-BMB-P336 > P10-EXT-BMB-P351 > P10-EXT-PRC-HX302 > P10-EXT-INT-V338 > P10-EXT-RHV-HX337 > P10-EXT-TNQ-V330 > P10-EXT-BMB-P331 > P10-EXT-BMB-P335 > P10-EXT-TNQ-V351 > P10-EXT-TNQ-TKD > P10-EXT-BMB-P335A > P10-EXT-AH101 > P10-EXT-AH103 > P10-EXT-AH102 > P10-EXT-AH105 > P10-EXT-AH104,P10-EXT-TNQ-V351,contenedor_por_ancestro_project,200,ancestro_project_exacto,NO
P10-HRN-ART-ARTVE63,AEROTERMO DE VENTILADOR VE63,367888,460ebebf-e4ee-449a-900c-ab33de4c697f-00059d10,P10 > P10-HRN-LGC-HARINA > P10-HRN-ENF-EG01 > P10-HRN-RSC-EGSF01 > P10-HRN-RSC-EGSF02 > P10-HRN-RSC-EGSF03 > P10-HRN-RSC-EGSF04 > P10-HRN-VNT-VE27 > P10-HRN-CCL-CVE27 > P10-HRN-VLV-VR20 > P10-HRN-VNT-VE28 > P10-HRN-CCL-CVE28 > P10-HRN-VLV-VR21 > P10-HRN-VNT-VE29 > P10-HRN-CCL-CVE29 > P10-HRN-VLV-VR22 > P10-HRN-VNT-VE30 > P10-HRN-CCL-CVE30 > P10-HRN-VLV-VR23 > P10-HRN-VNT-VE31 > P10-HRN-CCL-CVE31 > P10-HRN-VLV-VR24 > P10-HRN-VNT-VE32 > P10-HRN-CCL-CVE32 > P10-HRN-VLV-VR25 > P10-HRN-VNT-VE33 > P10-HRN-CCL-CVE33 > P10-HRN-VLV-VR26 > P10-HRN-VNT-VE34 > P10-HRN-CCL-CVE34 > P10-HRN-VLV-VR27 > P10-HRN-VNT-VE39 > P10-HRN-ART-ARTVE39 > P10-HRN-VNT-VE40 > P10-HRN-ART-ARTVE40 > P10-HRN-VNT-VE41 > P10-HRN-ART-ARTVE41 > P10-HRN-VNT-VE42 > P10-HRN-ART-ARTVE42 > P10-HRN-VNT-VE43 > P10-HRN-ART-ARTVE43 > P10-HRN-VNT-VE44 > P10-HRN-ART-ARTVE44 > P10-HRN-VNT-VE45 > P10-HRN-ART-ARTVE45 > P10-HRN-VNT-VE46 > P10-HRN-ART-ARTVE46 > P10-HRN-VNT-VE47 > P10-HRN-ART-ARTVE47 > P10-HRN-VNT-VE48 > P10-HRN-ART-ARTVE48 > P10-HRN-VNT-VE49 > P10-HRN-ART-ARTVE49 > P10-HRN-VNT-VE50 > P10-HRN-ART-ARTVE50 > P10-HRN-VNT-VE51 > P10-HRN-ART-ARTVE51 > P10-HRN-VNT-VE52 > P10-HRN-ART-ARTVE52 > P10-HRN-VNT-VE53 > P10-HRN-ART-ARTVE53 > P10-HRN-VNT-VE54 > P10-HRN-ART-ARTVE54 > P10-HRN-VNT-VE55 > P10-HRN-ART-ARTVE55 > P10-HRN-VNT-VE56 > P10-HRN-ART-ARTVE56 > P10-HRN-VNT-VE57 > P10-HRN-ART-ARTVE57 > P10-HRN-VNT-VE58 > P10-HRN-ART-ARTVE58 > P10-HRN-VNT-VE59 > P10-HRN-ART-ARTVE59 > P10-HRN-VNT-VE60 > P10-HRN-ART-ARTVE60 > P10-HRN-VNT-VE61 > P10-HRN-ART-ARTVE61 > P10-HRN-VNT-VE62 > P10-HRN-ART-ARTVE62 > P10-HRN-VNT-VE63,P10-HRN-VNT-VE63,contenedor_por_ancestro_project,200,ancestro_project_exacto,SI
P10-TLLM-GRU-TRT555,GRUA TEREX  RT-555  NRO 3,381172,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005d0f4,P10 > P10-GRL-LGC-EQUIPOS > P10-APR-APA02 > P10-APR-APA04 > P10-APR-APA03 > P10-APR-APA01 > P10-APR-APA05 > P10-TLLM-GND-GND01 > P10-PRP-PRC-PERCHA,,contenedor_por_scoring,80,+40 contiene P10-TLLM; +20 contiene P10; +20 bloques en path,NO
P10-PLL-LGC-PELLETERA,SECTOR PELLETEADO P10,282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,230,+80 contiene P10-PLL-LGC; +60 equivalencia tipo LGC; +40 contiene P10-PLL; +20 contiene P10; +30 bloques en path,NO
P10-PLL-CCL-CBS03A,1ER CICLON SOBRE CELDA 3 (SUR A NORTE),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,P10-PLL-BMB-BS03,contenedor_por_ancestro_project,200,ancestro_project_exacto,NO
P10-PLL-CCL-CBS03B,2DO CICLON SOBRE CELDA 3 (SUR A NORTE),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,P10-PLL-BMB-BS03,contenedor_por_ancestro_project,200,ancestro_project_exacto,NO
P10-PLL-VLV-VR35,VALVULA ROTATIVA RECIBE DEL DEP,282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,P10-PLL-BMB-BS03,contenedor_por_ancestro_project,200,ancestro_project_exacto,NO
P10-PLL-PLL-P01,PELLETERA PP 665-225  1 (MODIFICADA) 3RA (NORTE-SUR),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,230,+80 contiene P10-PLL-PLL; +60 equivalencia tipo PLL; +40 contiene P10-PLL; +20 contiene P10; +30 bloques en path,NO
P10-PLL-FRZ-PF01,FORZADOR P 665-225  1 SUR (MODIFICADA),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,80,+40 contiene P10-PLL; +20 contiene P10; +20 bloques en path,NO
P10-PLL-MZC-PM01,MEZCLADOR P 665-225  1 SUR (MODIFICADA),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,80,+40 contiene P10-PLL; +20 contiene P10; +20 bloques en path,NO
P10-PLL-PLL-P02,PELLETERA PP 665-225  2 (MODIFICADA) 4TA (NORTE-SUR),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,230,+80 contiene P10-PLL-PLL; +60 equivalencia tipo PLL; +40 contiene P10-PLL; +20 contiene P10; +30 bloques en path,NO
P10-PLL-FRZ-PF02,FORZADOR PELLETERA GH3 NRO 2,282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,80,+40 contiene P10-PLL; +20 contiene P10; +20 bloques en path,NO
P10-PLL-MZC-PM02,MEZCLADOR PELLETERA GH3  2 (SIN MODIFICAR),282497,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044f81,P10 > P10-EXT-LGC-EXTRACCION > P10-EXT-EXT-M202 > P10-EXT-LGC-BMB RECIRCULACION > P10-SRA-BMB-BO70 > P10-SRA-BMB-JOCKEY > P10-SRA-BMB-BOIN > P10-SRA-BMB-DOSIF > P10-EXT-BMB-P439B > P10-PLL-BMB-BS03,,contenedor_por_scoring,80,+40 contiene P10-PLL; +20 contiene P10; +20 bloques en path,NO
P10-TLL-TALLER,SECTOR TALLER P10,381172,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005d0f4,P10 > P10-GRL-LGC-EQUIPOS > P10-APR-APA02 > P10-APR-APA04 > P10-APR-APA03 > P10-APR-APA01 > P10-APR-APA05 > P10-TLLM-GND-GND01 > P10-PRP-PRC-PERCHA,,contenedor_por_scoring,40,"+40 contiene P10-TLL; +20 contiene P10; +10 bloques en path; -30 otro sector (APR,GRL,PRP,TLLM)",NO
P10-TLL-AIR-AIRE,AIRE ACONDICIONADO OFICINA ADMINISTRACION TALLER CARRIER 6 TR,176327,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002b0c7,P10 > P10-SRV-LGC-SERVICIOS > P10-ADM-OFC-OFICINA MANT > P10-ADM-OFC-ADM,P10-ADM-OFC-ADM,contenedor_por_ancestro_project,200,ancestro_project_exacto,NO
