codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
PP-AGR-RDL-R28,REDLER R-28 | Grupo: PP-REDLER R28,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_05,escrito_slot_05_80
PP-AGR-RDL-R29,REDLER R- 29   <A REDLER R-30> | Grupo: PP-REDLER R29,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_06,escrito_slot_05_80
PP-AGR-RDL-R30,REDLER R-30     <A REDLER R-19> | Grupo: PP-REDLER R30,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_07,escrito_slot_05_80
PP-AGR-RDL-R30A,REDLER R30A DE AGREGADO | Grupo: PP-REDLER R30 A,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_08,escrito_slot_05_80
PP-AGR-SLO-SA1,SILO  SA1 ACOPIO 1 | Grupo: PP-RSC SA1,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_09,escrito_slot_05_80
PP-AGR-SLO-SA2,SILO  SA2 ACOPIO 2 | Grupo: PP-RSC SA2,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_10,escrito_slot_05_80
PP-AGR-SLO-SA3,SILO  SA3  ACOPIO 3 | Grupo: PP-RSC SA3,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_registry_capacidad,PP-AGR-LGC-AGREGADO,asociado_a_contenedor,SI,btz_description_11,escrito_slot_05_80
PP-AGR-VLV-VR26A,VALVULA ROTATIVA VR26A | Grupo: PP-VLV ROTATIVA VR26A,366280,112ed255-2c3e-4575-ba44-903fa5f3f8e7-000596c8,PP > PP-HRN-LGC-HARINA > PP-HRN-LGC-VALVULAS A PUERTO,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_12,escrito_slot_05_80
PP-DSC-LGC-DESCASCARADO,SECTOR DESCASCARADO PTA PTO | Grupo: PP-SECTOR,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_match_puntual_multi,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_02,ya_existia_en_btz
PP-DSC-LGC-ASPIRADORES,SECTOR ASPIRADORES DESCASCARADO PTA PTO | Grupo: PP-SECTOR ASP DESC,183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,contenedor_por_ancestro_project,PP-DSC-LGC-DESCASCARADO,asociado_a_contenedor,SI,btz_description_05,escrito_slot_05_80
