element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
173600,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a620,Generic Models,Silo diario,Silo diario,Silo diario,PP > PP-PRL-LGC-SILOS > PP-PRL-SLO-SA00,PP,,PP-PRL-LGC-SILOS,PP-PRL-SLO-SA00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,8
179296,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002bc60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-LGC-DESGOMADO,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-LGC-DESGOMADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,108
179346,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002bc92,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-EXT-LGC-EXTRACCION > PP-EXT-EXT-EX01 EXTRACTOR,PP,PP-EXT-LGC-EXTRACCION,PP-EXT-EXT-EX01 EXTRACTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
183538,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ccf2,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-DSC-LGC-DESCASCARADO > Silo de cascara,PP,PP-DSC-LGC-DESCASCARADO,Silo de cascara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,84
183638,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cd56,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-DSC-LGC-DESCASCARADO > ASPIRADORES > MOLINO > REDLER > ZAranda,PP,PP-DSC-LGC-DESCASCARADO,ASPIRADORES,MOLINO,REDLER,ZAranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,74,0
183810,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002ce02,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-DSC-LGC-DESCASCARADO > DCCC,PP,PP-DSC-LGC-DESCASCARADO,DCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
184070,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002cf06,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-DSC-LGC-DESCASCARADO > quebradores > dccd,PP,PP-DSC-LGC-DESCASCARADO,quebradores,dccd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
184857,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002d219,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-LCT-LGC-LECITINA > PP_LCT_VOTATOR,PP,PP-LCT-LGC-LECITINA,PP_LCT_VOTATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,118
284763,121e7c49-6f80-4698-91bd-c7c5a38e25dd-0004585b,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-SRV-LGC-SERVICIOS,PP,PP-SRV-LGC-SERVICIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,78,105
284902,121e7c49-6f80-4698-91bd-c7c5a38e25dd-000458e6,Roofs,,Genérico - 400 mm,Genérico - 400 mm,PP > PP-PRP-LGC-PREPARACION > PP-PRP-LGC-BEAN HEATER,PP,PP-PRP-LGC-PREPARACION,PP-PRP-LGC-BEAN HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,31
