codigo_project,task_name,estado_match,observacion,tipo_asociacion
PP-ADM-CMN-THS,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-LGC-AGREGADO,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-AGR-NOR-N05,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-PTV-PVA,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-CHD-PVCH,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-RSC-S12,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-RSC-S13,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-RSC-S14,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-AGR-RSC-S15,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-ALM-LGC-ALMACENES,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-ALM-AUT-AELV,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-ALM-BMB-GOIL,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-ALM-EDF-EDIFICIO,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-ALM-TNQ-TKGASOIL,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-APR-APA06,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-LGC-SECTOR,,sin_contenedor,force_ancestor_container: ningún ancestro de Project coincide con el export Revit (campos BTZ/Mark/Comments/path).,sin_asociacion
PP-CCM-CCMEXT,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-AIR-AIREXT,,sin_contenedor,Código repetido en Project 2 veces. Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-CMP-AC,,sin_contenedor,Código repetido en Project 8 veces. Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-CCMHRN,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-AIR-AIRHRN,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-CCMPRP,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-AIR-AIRPRP,,sin_contenedor,Código repetido en Project 3 veces. Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
PP-CCM-CCMRIO,,sin_contenedor,Ningún contenedor supera puntaje mínimo 40.,sin_asociacion
