codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
PR-ACT-AGT-TK01,AGITADOR HORIZONTAL TK-1 | Grupo: PR-AGT TNQ AC01,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-BMB-CB1,BOMBA CENTRIFUGA B-1 | Grupo: PR-ACT-BMB-CB1,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ACT-BMB-DA01,BOMBA CENTRIFUGA Nº 1 <O> | Grupo: PR-ACT-BMB-DA01,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
PR-ACT-BMB-DA02,BOMBA CENTRIFUGA Nº 2 <C> | Grupo: PR-ACT-BMB-DA02,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
PR-ACT-BMB-DA03,BOMBA CENTRIFUGA Nº 3 <E> | Grupo: PR-ACT-BMB-DA03,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
PR-ACT-BMB-DA08,BOMBA CENTRIFUGA Nº 8 <CENTRO> | Grupo: PR-ACT-BMB-DA08,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
PR-ACT-BMB-DA17,BOMBA OSCILANTE Nº 17 | Grupo: PR-ACT-BMB-DA17,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_por_ancestro_project,PR-ACT-TNQ-AC01,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
PR-ACT-AGT-TK02,AGITADOR HORIZONTAL TK-2 | Grupo: PR-AGT TNQ AC02,175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,contenedor_por_ancestro_project,PR-ACT-TNQ-AC02,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-BMB-BE01,BOMBA A ENGRANAJE 1 <DESC. LECITINA TK-2> | Grupo: PR-ACT-BMB-BE01,175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,contenedor_por_ancestro_project,PR-ACT-TNQ-AC02,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ACT-AGT-TK03,AGITADOR HORIZONTAL TK-3 | Grupo: PR-AGT TNQ AC03,156169,379981ba-ab79-4577-9004-ad3cc41f4fee-00026209,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC03,contenedor_por_ancestro_project,PR-ACT-TNQ-AC03,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-AGT-TK04,AGITADOR HORIZONTAL TK-4 | Grupo: PR-AGT TNQ AC04,156153,379981ba-ab79-4577-9004-ad3cc41f4fee-000261f9,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC04,contenedor_por_ancestro_project,PR-ACT-TNQ-AC04,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-BMB-DA18,BOMBA CENTRIFUGA Nº 18  <SUR> | Grupo: PR-ACT-BMB-DA18,156153,379981ba-ab79-4577-9004-ad3cc41f4fee-000261f9,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC04,contenedor_por_ancestro_project,PR-ACT-TNQ-AC04,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ACT-BMB-DA19,BOMBA A ENGRANAJE Nº 19 <NORTE> | Grupo: PR-ACT-BMB-DA19,156153,379981ba-ab79-4577-9004-ad3cc41f4fee-000261f9,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC04,contenedor_por_ancestro_project,PR-ACT-TNQ-AC04,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
PR-ACT-AGT-TK05,AGITADOR HORIZONTAL TK-5 | Grupo: PR-AGT TNQ AC05,156111,379981ba-ab79-4577-9004-ad3cc41f4fee-000261cf,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC05,contenedor_por_ancestro_project,PR-ACT-TNQ-AC05,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-BMB-DA05,BOMBA CENTRIFUGA Nº 5 | Grupo: PR-ACT-BMB-DA05,156111,379981ba-ab79-4577-9004-ad3cc41f4fee-000261cf,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC05,contenedor_por_ancestro_project,PR-ACT-TNQ-AC05,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ACT-AGT-TK06,AGITADOR HORIZONTAL TK-6 | Grupo: PR-AGT TNQ AC06,155128,1192f475-90fc-43d8-a4f8-29b11d73f723-00025df8,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC06,contenedor_por_ancestro_project,PR-ACT-TNQ-AC06,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-BMB-DA06,BOMBA CENTRIFUGA Nº 6 | Grupo: PR-ACT-BMB-DA06,155128,1192f475-90fc-43d8-a4f8-29b11d73f723-00025df8,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC06,contenedor_por_ancestro_project,PR-ACT-TNQ-AC06,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ACT-BMB-DA07,"BOMBA CENTRIFUGA Nº 7 6"" | Grupo: PR-ACT-BMB-DA07",155128,1192f475-90fc-43d8-a4f8-29b11d73f723-00025df8,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC06,contenedor_por_ancestro_project,PR-ACT-TNQ-AC06,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
PR-ACT-BMB-ELC01,BOMBA A ENGRANAJE LECITINA Nº 1 <N/O> | Grupo: PR-ACT-BMB-ELC01,373704,f26b48f9-0279-47cf-b5b3-6772136bf76f-0005b3c8,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC09,contenedor_por_ancestro_project,PR-ACT-TNQ-AC09,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-AGT-TK10,AGITADOR HORIZONTAL TK-10 | Grupo: PR-AGT TNQ AC10,156127,379981ba-ab79-4577-9004-ad3cc41f4fee-000261df,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC10,contenedor_por_ancestro_project,PR-ACT-TNQ-AC10,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-BMB-ELC02,BOMBA A ENGRANAJE LECITINA Nº 2 <S/E> | Grupo: PR-ACT-BMB-ELC02,156127,379981ba-ab79-4577-9004-ad3cc41f4fee-000261df,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC10,contenedor_por_ancestro_project,PR-ACT-TNQ-AC10,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ACT-AGT-TK11,AGITADOR HORIZONTAL TK-11 | Grupo: PR-AGT TNQ AC11,156246,379981ba-ab79-4577-9004-ad3cc41f4fee-00026256,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC11,contenedor_por_ancestro_project,PR-ACT-TNQ-AC11,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-AGT-TK12,AGITADOR HORIZONTAL TK-12 | Grupo: PR-AGT TNQ AC12,156228,379981ba-ab79-4577-9004-ad3cc41f4fee-00026244,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC12,contenedor_por_ancestro_project,PR-ACT-TNQ-AC12,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ACT-AGT-TK13,AGITADOR HORIZONTAL TK-13 | Grupo: PR-AGT TNQ AC13,368306,c1b86e07-db16-4679-93c3-323d244a69e5-00059eb2,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC13,contenedor_por_ancestro_project,PR-ACT-TNQ-AC13,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ADM-AIR-ANOR,AIRE ACONDICIONADO CENTRAL. NORTE | Grupo: PR-ADM-AIR-ANOR,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ADM-AIR-ASUR,AIRE ACONDICIONADO CENTRAL. SUR | Grupo: PR-ADM-AIR-ASUR,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ADM-BMB-EXPGO,BOMBA EXPENDIO GAS-OIL | Grupo: PR-ADM-BMB-EXPGO,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
PR-ADM-BMB-GOIL,BOMBA CARGA/DESCARGA G-OIL | Grupo: PR-ADM-BMB-GOIL,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
PR-ADM-GNR-GEC01,GRUPO ELECTROGENO FEMA 24KW | Grupo: PR-ADM-GNR-GEC01,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
PR-ADM-GNR-JDC60,GRUPO ELECTRÓGENO JOHN-DEERE/CRAMACO 60KVA | Grupo: PR-GNR-JDC60,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
PR-ADM-TKGO-MNG,MANGUERA DESCARGA GAS-OIL | Grupo: PR-ADM-TKGO-MNG,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
PR-ADM-TNQ-GOIL,TANQUE ALMAC.Y EXPEND.GAS-OIL 1 | Grupo: PR-ADM-TNQ-GOIL,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_12,escrito_en_slot_btz
PR-ADM-VHC-TYTAT,AUTOMOVIL TOYOTA COROLLA PATENTE AD531LB | Grupo: PR-ADM-VHC-TYTAT,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_13,escrito_en_slot_btz
PR-ADM-VHC-TYTDC,CAMIONETA TOYOTA HILUX DOBLE CABINA PATENTE AC297UX | Grupo: PR-ADM-VHC-TYTDC,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_14,escrito_en_slot_btz
PR-ADM-VHC-TYTSW4,CAMIONETA TOYOTA SW4 SRX (PATENTE AD052ZD) | Grupo: PR-ADM-VHC-TYTSW4,369451,c1b86e07-db16-4679-93c3-323d244a69e5-0005a32b,PR > PR-ADM-LGC-AMINISTRACION > PR-ADM-LGC-GENERAL > PR-ADM-UPS-UPS2,contenedor_por_ancestro_project,PR-ADM-LGC-AMINISTRACION,asociado_a_contenedor,SI,btz_description_15,escrito_en_slot_btz
PR-CCM-LGC-CCM,LOGICO CENTRO CONTROL DE MOTORES (CCM) | Grupo: PR-SECTOR,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-CCM-CCM-DSA1,CCM DESCASCARADORA DE ALGODÓN | Grupo: PR-CCM-CCM-DSA1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-CCM-CCM-EFLTS,CCM TRATAMIENTO DE EFLUENTES | Grupo: PR-CCM-CCM-EFLUENTES,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
PR-CCM-CCM-EXT1,CCM EXTRACCION 1 | Grupo: PR-CCM-CCM-EXT1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
PR-CCM-CCM-EXT2,CCM EXTRACCION 2 | Grupo: PR-CCM-CCM-EXT2,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
PR-CCM-CCM-HRN1,CCM HARINA 1 | Grupo: PR-CCM-CCM-HRN1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
PR-CCM-CCM-LNT,CCM LINTER | Grupo: PR-CCM-CCM-LNT,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_11,escrito_en_slot_btz
PR-CCM-CCM-PDA,CCM PLANTA DE AGUA | Grupo: PR-CCM-CCM-PLANTA DE AGUA,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_12,escrito_en_slot_btz
PR-CCM-CCM-PLPZ1,CCM PRELIMPIEZA LINEA 1 | Grupo: PR-CCM-CCM-PLPZ1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_13,escrito_en_slot_btz
PR-CCM-CCM-PLPZ2,CCM PRELIMPIEZA LINEA 2 | Grupo: PR-CCM-CCM-PLPZ2,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_14,escrito_en_slot_btz
PR-CCM-CCM-PRP1,CCM PREPARACION LINEA 1 | Grupo: PR-CCM-CCM-PRP1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_15,escrito_en_slot_btz
PR-CCM-CCM-PRP2,CCM PREPARACION LINEA 2 | Grupo: PR-CCM-CCM-PRP2,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_16,escrito_en_slot_btz
PR-CCM-CCM-PRP3,CCM PREPARACION LINEA 3 | Grupo: PR-CCM-CCM-PRP3,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_17,escrito_en_slot_btz
PR-CCM-CCM-RD,CCM RED DE INCENDIO | Grupo: PR-CCM-CCM-RD INCDO,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_18,escrito_en_slot_btz
PR-CCM-CCM-SCCN,CCM SECCION 4 | Grupo: PR-CCM-CCM-SCCN 4,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_19,escrito_en_slot_btz
PR-CCM-CCM-TRREXT2,CCM TORRES DE ENF. EXTRACCION 2 | Grupo: PR-CCM-CCM-TRREXT2,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_20,escrito_en_slot_btz
PR-CCM-LGC-PLYMP,LOGICO CCM PLAYA Y MATERIA PRIMA | Grupo: PR-LOGICO,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_21,escrito_en_slot_btz
PR-CCM-CCM-,CCM CELDA 16 | Grupo: PR-CCM-CCM- CELDA 16,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_22,escrito_en_slot_btz
PR-CCM-CCM-BBS,CCM BOMBEO DE EFLUENTES | Grupo: PR-CCM-CCM-BBS EFLTS,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_23,escrito_en_slot_btz
PR-CCM-CCM-SILO,"CCM SILO 1, 2 Y 3 | Grupo: PR-CCM-CCM-SILO 1 2 Y 3",386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_24,escrito_en_slot_btz
PR-CCM-CCM-SILOS,CCM SILOS CHIEF | Grupo: PR-CCM-CCM-SILOS CH,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_25,escrito_en_slot_btz
PR-CCM-LGC-PLYSP,LOGICO CCM PLAYA Y SUBPRODUCTO | Grupo: PR-LOGICO,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_26,escrito_en_slot_btz
PR-CCM-LGC-VAPOR1,LOGICO CCM VAPOR 1 | Grupo: PR-LOGICO,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_27,escrito_en_slot_btz
PR-CCM-CCM-FLT1,CCM FILTRO ELECTROESTATICO | Grupo: PR-CCM-CCM-FLT1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_28,escrito_en_slot_btz
PR-CCM-CCM-VPR1,CCM VAPOR 1 | Grupo: PR-CCM-CCM-VPR1,386796,95c1af94-5959-437c-80b8-8758c03bcc38-0005e6ec,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > sala de ccm,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_29,escrito_en_slot_btz
PR-ENR1-APM-APMST,APAREJO MANUAL SALA DE TURBINAS | Grupo: PR-ENR1-APM,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_04,escrito_en_slot_btz
PR-ENR1-EQP-ACTB,EQUIPO SECADO ACEITES DE TURBINAS | Grupo: PR-EQP SEC,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_05,escrito_en_slot_btz
PR-ENR1-PGR-PGST,PUENTE GRUA SALA DE TURBINAS | Grupo: PR-ENR1-PG,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_06,escrito_en_slot_btz
PR-ENR1-TRB-SMN,TURBINA SIEMENS | Grupo: PR-TRB SIEMENS,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_07,escrito_en_slot_btz
PR-ENR1-VLV-SECTS,VALVULA DE SEGURIDAD CONDENSADOR TURBINA SIEMENS | Grupo: PR-VLV SGR CND TS,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_08,escrito_en_slot_btz
PR-ENR1-DPS-ACT,DEPOSITO DE ACEITE | Grupo: PR-DPS ACT TS,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_09,escrito_en_slot_btz
PR-ENR1-ENF-ACT1,ENFRIADOR DE ACEITE 1 | Grupo: PR-ENF ACT 1 TS,383404,78d32039-a934-4204-a849-af0b99e119be-0005d9ac,PR > PR-ENR1-LGC-ENERGIA 1 > PR-ENR1-LGC-GENERAL,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_10,escrito_en_slot_btz
