element_id_contenedor,unique_id_contenedor,btz_path_contenedor,codigo_project,descripcion_project,slots_libres,cantidad_hijos_asignados,motivo_omision
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-PRN-A07,PRENSA ALLOCCO AC-200 Nº 7 | Grupo: PR-PRN AC200,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-PRN-A08,PRENSA ALLOCCO AC-200 Nº 8 | Grupo: PR-PRN AC200,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-PRN-A09,PRENSA ALLOCCO AC-200 Nº 9 <S> | Grupo: PR-PRN AC200,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-LGC-QUEBRADORES,LOGICO QUEBRADORES PREPARACION LINEA 1 | Grupo: PR-LOGICO,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-QBR-A01,QUEBRADOR ALLOCCO AC-250 Nº 1  (N) | Grupo: PR-QBR AC 250,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-QBR-A02,QUEBRADOR ALLOCCO AC-250 Nº 2  INACTIVO | Grupo: PR-QBR AC 250,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-QBR-A03,QUEBRADOR ALLOCCO AC-250 Nº 3 | Grupo: PR-QBR AC 250,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-QBR-A04,QUEBRADOR ALLOCCO AC-250 Nº 4 | Grupo: PR-QBR AC 250,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-QBR-A05,QUEBRADOR ALLOCCO AC-250 Nº 5   (S) | Grupo: PR-QBR AC 250,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-LGC-REDLERS,LOGICO REDLERS PREPARACION LINEA 1 | Grupo: PR-LOGICO,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG18,REDLER TSG-18 | Grupo: PR-PRP1-RDL-TSG18,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG19,REDLER TSG-19 | Grupo: PR-PRP1-RDL-TSG19,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG26,REDLER TSG-26 | Grupo: PR-PRP1-RDL-TSG26,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG27,REDLER TSG-27 | Grupo: PR-PRP1-RDL-TSG27,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG28,REDLER TSG-28 | Grupo: PR-PRP1-RDL-TSG28,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG29,REDLER TSG-29 | Grupo: PR-PRP1-RDL-TSG29,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG30,REDLER TSG-30 | Grupo: PR-PRP1-RDL-TSG30,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG34,"REDLER TSG-34 ""Z"" | Grupo: PR-PRP1-RDL-TSG34",76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG39,REDLER TSG-39 | Grupo: PR-PRP1-RDL-TSG39,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG40,REDLER TSG-40 | Grupo: PR-PRP1-RDL-TSG40,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG41,"REDLER TSG-41 ""Z"" | Grupo: PR-PRP1-RDL-TSG41",76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG43,REDLER TSG-43 | Grupo: PR-PRP1-RDL-TSG43,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG47,REDLER TSG-47 | Grupo: PR-PRP1-RDL-TSG47,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RDL-TSG54,"REDLER TSG-54 ""Z"" | Grupo: PR-PRP1-RDL-TSG54",76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-LGC-REQUECHEROS,LOGICO REQUECHEROS PREPARACION LINEA 1 | Grupo: PR-LOGICO,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RQC-N01,REQUECHERO Nº 1  <L/SUR> | Grupo: PR-RQC 1500,76,122,asociado_por_csv_externo_supera_slots_btz
394757,a76015c2-c6f4-4057-9a15-5a3acb8b5871-00060605,PR > PR-PRP1-LGC-PREPARACION 1 > PR-PRP1-LGC-GENERAL > PR-PRP1-CNT-TSG16,PR-PRP1-RQC-N02,REQUECHERO Nº 2  <L/NORTE> | Grupo: PR-RQC 1500,76,122,asociado_por_csv_externo_supera_slots_btz
