element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
155128,1192f475-90fc-43d8-a4f8-29b11d73f723-00025df8,Modelos genéricos,Modelos genéricos 1,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC06,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,3
156111,379981ba-ab79-4577-9004-ad3cc41f4fee-000261cf,Modelos genéricos,Modelos genéricos 2,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC05,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
156127,379981ba-ab79-4577-9004-ad3cc41f4fee-000261df,Modelos genéricos,Modelos genéricos 3,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC10,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
156153,379981ba-ab79-4577-9004-ad3cc41f4fee-000261f9,Modelos genéricos,Modelos genéricos 4,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC04,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,3
156169,379981ba-ab79-4577-9004-ad3cc41f4fee-00026209,Modelos genéricos,Modelos genéricos 5,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC03,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,1
156228,379981ba-ab79-4577-9004-ad3cc41f4fee-00026244,Modelos genéricos,Modelos genéricos 6,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC12,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,1
156246,379981ba-ab79-4577-9004-ad3cc41f4fee-00026256,Modelos genéricos,Modelos genéricos 7,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC11,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,1
160414,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-0002729e,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > descascarado > descascarado,PR,descascarado,descascarado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
163548,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-00027edc,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYSP-LGC-PLAYA Y SUB > PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 10,PR,PR-PLYSP-LGC-PLAYA Y SUB,PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
164292,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000281c4,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > PR-PLYMP-SLO-DMP12,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-SILOS CELDA,PR-PLYMP-SLO-DMP12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,47
165318,c75bd4f0-baf2-4f40-8a34-9dc82f291cda-000285c6,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-TLLE-LGC-TALLER ELECTRICO > PR-TLLE-LGC-GENERAL > PR-TLLE-SLD-ELE,PR,PR-TLLE-LGC-TALLER ELECTRICO,PR-TLLE-LGC-GENERAL,PR-TLLE-SLD-ELE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,1
166317,e42370da-1003-4b82-9a27-4cb40db2c9bb-000289ad,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-ALM-LGC-ALMACEN RICARDONE > PR-ALM-LGC-GENERAL > PR-ALM-ATL-TYT6,PR,PR-ALM-LGC-ALMACEN RICARDONE,PR-ALM-LGC-GENERAL,PR-ALM-ATL-TYT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
166456,e42370da-1003-4b82-9a27-4cb40db2c9bb-00028a38,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-TLLM-LGC-TALLER MECANICO > PR-TLLM-LGC-GENERAL > PR-TLLM-GNR-C180,PR,PR-TLLM-LGC-TALLER MECANICO,PR-TLLM-LGC-GENERAL,PR-TLLM-GNR-C180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,30
167022,e42370da-1003-4b82-9a27-4cb40db2c9bb-00028c6e,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > PR-PLYMP-SLO-DMP02,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-SILOS CELDA,PR-PLYMP-SLO-DMP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,9
167124,e42370da-1003-4b82-9a27-4cb40db2c9bb-00028cd4,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > PR-PLYMP-SLO-DMP03,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-SILOS CELDA,PR-PLYMP-SLO-DMP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,11
169282,e42370da-1003-4b82-9a27-4cb40db2c9bb-00029542,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYSP-LGC-PLAYA Y SUB > PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 9,PR,PR-PLYSP-LGC-PLAYA Y SUB,PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
169610,e42370da-1003-4b82-9a27-4cb40db2c9bb-0002968a,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYSP-LGC-PLAYA Y SUB > PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 8,PR,PR-PLYSP-LGC-PLAYA Y SUB,PR-PLYSP-LGC-SILO CELDA DEP. S.P. Nº 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
169745,e42370da-1003-4b82-9a27-4cb40db2c9bb-00029711,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-VPR1-LGC-VAPOR 1 > PR-VPR1-LGC-GENERAL,PR,PR-VPR1-LGC-VAPOR 1,PR-VPR1-LGC-GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
170794,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029b2a,Modelos genéricos,Modelos genéricos 8,Modelos genéricos 8,Modelos genéricos 8,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS KEPLER WEB > PR-PLYMP-SLO-SEKW6,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-SILOS KEPLER WEB,PR-PLYMP-SLO-SEKW6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
171864,358aa91e-12c5-4b99-b609-4e1e7ac885f9-00029f58,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > PR-PLYMP-SLO-DMP13,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-SILOS CELDA,PR-PLYMP-SLO-DMP13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,22
175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,7
175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,Modelos genéricos,Modelos genéricos 9,Modelos genéricos 1,Modelos genéricos 1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
190078,9fc45961-bb32-442c-aa4c-647cad2ecef0-0002e67e,Suelos,techo curvo,techo curvo,techo curvo,PR > PR-PLYSP-LGC-PLAYA Y SUB > PR-PLYSP-LGC-SILO EXPEDICION CELDA DEP. S.P. Nº 11,PR,PR-PLYSP-LGC-PLAYA Y SUB,PR-PLYSP-LGC-SILO EXPEDICION CELDA DEP. S.P. Nº 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
190689,65921193-bdb2-439a-80df-be306e8b591d-0002e8e1,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-SILOS CELDA > PR-PLYMP-SLO-DMP16,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-SILOS CELDA,PR-PLYMP-SLO-DMP16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
191630,f3a3bbf9-3743-4df3-87f9-b889088f6b0b-0002ec8e,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
191856,f3a3bbf9-3743-4df3-87f9-b889088f6b0b-0002ed70,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
193571,f3a3bbf9-3743-4df3-87f9-b889088f6b0b-0002f423,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
193907,f3a3bbf9-3743-4df3-87f9-b889088f6b0b-0002f573,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-CALADORES > PR-PLYMP-CNT-CLD1,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-CNT-CLD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
194104,f3a3bbf9-3743-4df3-87f9-b889088f6b0b-0002f638,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-CALADORES > PR-PLYMP-CNT-CLD1,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-CNT-CLD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
194145,f3a3bbf9-3743-4df3-87f9-b889088f6b0b-0002f661,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-CALADORES > PR-PLYMP-CNT-CLD1,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-CNT-CLD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,0
194853,f81472a3-6fc8-48c2-b0db-9288e233878c-0002f925,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
195058,f81472a3-6fc8-48c2-b0db-9288e233878c-0002f9f2,Cubiertas,,Genérico - 400 mm,Genérico - 400 mm,PR > PR-PLYMP-LGC-PLAYA Y MP > PR-PLYMP-LGC-PLATAFORMAS VOLC > ptv 15 y 16,PR,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-PLATAFORMAS VOLC,ptv 15 y 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,8
