estado_match,tipo_asociacion,codigo_project,descripcion_project,project_id,outline_level,outline_number,parent_task_name,parent_codigo_project,ancestor_codes_project,ancestor_names_project,project_path,element_id_revit,unique_id_revit,category,family,type,name,btz_numero_activo,btz_path_actual,parametro_match,contenedor_sugerido_element_id,contenedor_sugerido_unique_id,contenedor_sugerido_path,contenedor_sugerido_nivel,slots_libres_contenedor,requiere_split_por_slots,puntaje_contenedor,segundo_puntaje_contenedor,diferencia_puntaje,criterio_contenedor,candidatos_contenedor,ancestro_project_usado,observacion,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,estado_confirmacion
match_elemento_puntual,elemento_puntual,PR-ACT-TNQ-AC01,TANQUE ALMAC.ACEITE CRUDO Nº 1 | Grupo: PR-TNQ ACT,25,4,25,PR-ACT-LGC-TANQUES,PR-ACT-LGC-TANQUES,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,btz_description_04,,,,,,,,,,,,,Coincidencia exacta única con elemento Revit.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-AGT-TK01,AGITADOR HORIZONTAL TK-1 | Grupo: PR-AGT TNQ AC01,26,5,26,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-AGT-TK01,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-BMB-CB1,BOMBA CENTRIFUGA B-1 | Grupo: PR-ACT-BMB-CB1,27,5,27,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-BMB-CB1,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-BMB-DA01,BOMBA CENTRIFUGA Nº 1 <O> | Grupo: PR-ACT-BMB-DA01,28,5,28,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-BMB-DA01,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-BMB-DA02,BOMBA CENTRIFUGA Nº 2 <C> | Grupo: PR-ACT-BMB-DA02,29,5,29,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-BMB-DA02,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-BMB-DA03,BOMBA CENTRIFUGA Nº 3 <E> | Grupo: PR-ACT-BMB-DA03,30,5,30,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-BMB-DA03,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-BMB-DA08,BOMBA CENTRIFUGA Nº 8 <CENTRO> | Grupo: PR-ACT-BMB-DA08,31,5,31,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-BMB-DA08,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-BMB-DA17,BOMBA OSCILANTE Nº 17 | Grupo: PR-ACT-BMB-DA17,32,5,32,PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01 > PR-ACT-BMB-DA17,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,Modelos genéricos,Modelos genéricos 10,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,contenedor_scoring,175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,4,76,NO,200,0,200,ancestro_project_exacto,175478:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC01,PR-ACT-TNQ-AC01,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC01.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
match_elemento_puntual,elemento_puntual,PR-ACT-TNQ-AC02,TANQUE ALMAC.ACEITE CRUDO Nº 2 | Grupo: PR-TNQ ACT,33,4,33,PR-ACT-LGC-TANQUES,PR-ACT-LGC-TANQUES,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,Modelos genéricos,Modelos genéricos 9,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,btz_description_04,,,,,,,,,,,,,Coincidencia exacta única con elemento Revit.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
asignable_a_contenedor,contenedor_por_ancestro_project,PR-ACT-AGT-TK02,AGITADOR HORIZONTAL TK-2 | Grupo: PR-AGT TNQ AC02,34,5,34,PR-ACT-TNQ-AC02,PR-ACT-TNQ-AC02,PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02 > PR-ACT-AGT-TK02,175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,Modelos genéricos,Modelos genéricos 9,Modelos genéricos 1,Modelos genéricos 1,,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,contenedor_scoring,175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,4,76,NO,200,0,200,ancestro_project_exacto,175553:200:PR > PR-ACT-LGC-ACEITE > PR-ACT-LGC-TANQUES > PR-ACT-TNQ-AC02,PR-ACT-TNQ-AC02,Sin match puntual; contenedor único por ancestro Project PR-ACT-TNQ-AC02.,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado_auto
