element_id,unique_id,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,estado_match,estado_confirmacion,observacion,limpiar_valores
175478,d112fcda-fad5-481f-8e37-b7906a02986c-0002ad76,PR-ACT-TNQ-AC01,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC01,PR-ACT-AGT-TK01,PR-ACT-BMB-CB1,PR-ACT-BMB-DA01,PR-ACT-BMB-DA02,PR-ACT-BMB-DA03,PR-ACT-BMB-DA08,PR-ACT-BMB-DA17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK01 escrito en btz_description_05 | hijo Project PR-ACT-BMB-CB1 escrito en btz_description_06 | hijo Project PR-ACT-BMB-DA01 escrito en btz_description_07 | hijo Project PR-ACT-BMB-DA02 escrito en btz_description_08 | hijo Project PR-ACT-BMB-DA03 escrito en btz_description_09 | hijo Project PR-ACT-BMB-DA08 escrito en btz_description_10 | hijo Project PR-ACT-BMB-DA17 escrito en btz_description_11,NO
175553,d112fcda-fad5-481f-8e37-b7906a02986c-0002adc1,PR-ACT-TNQ-AC02,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC02,PR-ACT-AGT-TK02,PR-ACT-BMB-BE01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK02 escrito en btz_description_05 | hijo Project PR-ACT-BMB-BE01 escrito en btz_description_06,NO
156169,379981ba-ab79-4577-9004-ad3cc41f4fee-00026209,PR-ACT-TNQ-AC03,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC03,PR-ACT-AGT-TK03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK03 escrito en btz_description_05,NO
156153,379981ba-ab79-4577-9004-ad3cc41f4fee-000261f9,PR-ACT-TNQ-AC04,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC04,PR-ACT-AGT-TK04,PR-ACT-BMB-DA18,PR-ACT-BMB-DA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK04 escrito en btz_description_05 | hijo Project PR-ACT-BMB-DA18 escrito en btz_description_06 | hijo Project PR-ACT-BMB-DA19 escrito en btz_description_07,NO
156111,379981ba-ab79-4577-9004-ad3cc41f4fee-000261cf,PR-ACT-TNQ-AC05,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC05,PR-ACT-AGT-TK05,PR-ACT-BMB-DA05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK05 escrito en btz_description_05 | hijo Project PR-ACT-BMB-DA05 escrito en btz_description_06,NO
155128,1192f475-90fc-43d8-a4f8-29b11d73f723-00025df8,PR-ACT-TNQ-AC06,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC06,PR-ACT-AGT-TK06,PR-ACT-BMB-DA06,PR-ACT-BMB-DA07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK06 escrito en btz_description_05 | hijo Project PR-ACT-BMB-DA06 escrito en btz_description_06 | hijo Project PR-ACT-BMB-DA07 escrito en btz_description_07,NO
373548,f26b48f9-0279-47cf-b5b3-6772136bf76f-0005b32c,PR-ACT-TNQ-AC08,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit,NO
373704,f26b48f9-0279-47cf-b5b3-6772136bf76f-0005b3c8,PR-ACT-TNQ-AC09,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC09,PR-ACT-BMB-ELC01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-BMB-ELC01 escrito en btz_description_05,NO
156127,379981ba-ab79-4577-9004-ad3cc41f4fee-000261df,PR-ACT-TNQ-AC10,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC10,PR-ACT-AGT-TK10,PR-ACT-BMB-ELC02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK10 escrito en btz_description_05 | hijo Project PR-ACT-BMB-ELC02 escrito en btz_description_06,NO
156246,379981ba-ab79-4577-9004-ad3cc41f4fee-00026256,PR-ACT-TNQ-AC11,PR,PR-ACT-LGC-ACEITE,PR-ACT-LGC-TANQUES,PR-ACT-TNQ-AC11,PR-ACT-AGT-TK11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_elemento_puntual confirmado desde Project/Revit | hijo Project PR-ACT-AGT-TK11 escrito en btz_description_05,NO
