codigo_project,descripcion_project,element_id_contenedor,unique_id_contenedor,btz_path_contenedor,tipo_asociacion,ancestro_project_usado,estado_asociacion,escrito_en_btz_description,btz_description_slot_usado,motivo
TE-ACT-LGC-SECTOR,SECTOR ACEITE | Grupo: TE-SECTOR,171843,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029f43,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_match_puntual_multi,TE-ACT-LGC-SECTOR,asociado_a_contenedor,SI,btz_description_05,escrito_slot_05_80
TE-ACT-CCM-CCMAC,CCM SECTOR ACEITE | Grupo: TE-CCMAC,171963,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029fbb,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-SECTOR,confirmado_force_ancestor_container,SI,btz_description_05,escrito_slot_05_80
TE-ACT-CMP-COM708,COMPRESOR SULLAIR LS 1675 (SECTOR ACEITE) | Grupo: TE-CMP COMPRESOR ACEITE,174187,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a86b,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-SECTOR,confirmado_force_ancestor_container,SI,btz_description_05,escrito_slot_05_80
TE-ACT-PLM-AIRE1,PULMON DE AIRE COMPRIMIDO 1  (PARA EPE ASP 2) | Grupo: TE-PLM PULMON AIRE1,174203,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a87b,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-SECTOR,confirmado_force_ancestor_container,SI,btz_description_05,escrito_slot_05_80
TE-ACT-PLM-AIRE2,PULMON DE AIRE COMPRIMIDO 2  (PARA EPE ASP 3) | Grupo: TE-PLM PULMON AIRE2,174229,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a895,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-SECTOR,confirmado_force_ancestor_container,SI,btz_description_05,escrito_slot_05_80
TE-ACT-CÑR-CAÑERIA,CAÑERÍA ACEITE/BIODIESEL ( VÁLVULAS + TRAMPA SCRAPPER + MANGUERAS EMBARQUE) MUELLE VICENTIN | Grupo: TE-CAÑERÍA ACEITE/BIO,196831,25d0f85d-57da-4cae-8ca2-9b682363407e-000300df,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-SECTOR,confirmado_force_ancestor_container,SI,btz_description_05,escrito_slot_05_80
TE-ACT-LGC-TANQUES,SECTOR TANQUES DE 400 | Grupo: TE-SECTOR TK400,171843,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029f43,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_match_puntual_multi,TE-ACT-LGC-TANQUES,asociado_a_contenedor,SI,btz_description_06,escrito_slot_05_80
TE-ACT-MLC-MLC,MALACATE DE MANGUEROTES DE ACEITE | Grupo: TE-MLC MANGUE ACEITE,171963,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029fbb,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-TANQUES,confirmado_force_ancestor_container,SI,btz_description_06,escrito_slot_05_80
TE-ACT-MLC-MUESTRAS,MALACATE PARA MOV DE MUESTRAS CALIDAD TANQUES 400 | Grupo: TE-MLC-MUESTRAS TKS 400,174187,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002a86b,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,contenedor_por_ancestro_forzado,TE-ACT-LGC-TANQUES,confirmado_force_ancestor_container,SI,btz_description_06,escrito_slot_05_80
TE-BIO-BMB-BO414,BOMBA BO414 EMBARQUE BIO (ARRANQUE EN CCM RENOVA) (SALA DE BOMBAS RENOVA FRENTE A TKS 400) | Grupo: TE-BOMBA BO414,361370,79a4e34a-87ef-4472-9c35-b34f669597e2-0005839a,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-BOMBAS DE ACEITE > TE-BIO-SLA-SALA BMB TK400,contenedor_por_scoring,,asociado_a_contenedor,SI,btz_description_05,escrito_slot_05_80
