element_id,unique_id,category,family,type,name,btz_path_detectado,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,cantidad_btz_description_con_valor,slots_libres,cantidad_codigos_project_asignados_sugeridos
153025,e873c32e-5e0c-4f36-b2a7-48d4917bce06-000255c1,Walls,,Genérico - 200 mm,Genérico - 200 mm,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,9
153117,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002561d,Walls,,Genérico - 200 mm,Genérico - 200 mm,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
153162,e873c32e-5e0c-4f36-b2a7-48d4917bce06-0002564a,Walls,,Genérico - 200 mm,Genérico - 200 mm,TE > TE-EXP-LGC-EXPEDICION > TE-EXP-LGC-SECTOR ACCESO OSL,TE,TE-EXP-LGC-EXPEDICION,TE-EXP-LGC-SECTOR ACCESO OSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
164153,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028139,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ALM-LGC-ALMACENAJE (CELDAS) > TE-ALM-CLD-CELDA 1,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
164356,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028204,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ALM-LGC-ALMACENAJE (CELDAS) > TE-ALM-CLD-CELDA 2,TE,TE-ALM-LGC-ALMACENAJE (CELDAS),TE-ALM-CLD-CELDA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
166634,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028aea,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE-ADM-LGC-EDIFICIOS VARIOS,,TE-ADM-LGC-EDIFICIOS VARIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,79,2
166752,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00028b60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-PORTERIA,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-PORTERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
168183,e873c32e-5e0c-4f36-b2a7-48d4917bce06-000290f7,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-OFICINAS,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,1
168280,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029158,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-ADM-LGC-EDIFICIOS VARIOS > TE-ADM-EDF-OFICINAS,TE,TE-ADM-LGC-EDIFICIOS VARIOS,TE-ADM-EDF-OFICINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,77,0
170458,e873c32e-5e0c-4f36-b2a7-48d4917bce06-000299da,Roofs,,Genérico - 400 mm,Genérico - 400 mm,TE > TE-DDC-LGC-DESCARGA CAMIONES > TE-DDC-PTV-PV5 > Es exclusivamente de la secadora,TE,TE-DDC-LGC-DESCARGA CAMIONES,TE-DDC-PTV-PV5,Es exclusivamente de la secadora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,18
171843,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029f43,Generic Models,silos,silos,silos,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-BIO-TNQ-TK402,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,30
171963,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029fbb,Generic Models,Silos 2,Silos 2,Silos 2,TE > TE-ACT-LGC-SECTOR ACEITE > TE-ACT-LGC-TANQUES 400 > TE-FUEL-TNQ-TK403,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76,2
