element_id,unique_id,btz_numero_activo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,estado_match,estado_confirmacion,observacion,limpiar_valores
361370,79a4e34a-87ef-4472-9c35-b34f669597e2-0005839a,TE-BIO-SLA-SALA,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-BOMBAS DE ACEITE,TE-BIO-SLA-SALA BMB TK400,TE-BIO-BMB-BO414,TE-BIO-BMB-BO415,TE-FUEL-BMB-BO412,TE-FUEL-BMB-BO413,TE-BIO-BMB-BO411,TE-LCT-BMB-BO104,TE-BIO-BMB-BO110,TE-BIO-BMB-BO111,TE-BIO-BMB-BO112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-BIO-BMB-BO414 escrito en btz_description_05 (element_id=361370) | hijo Project TE-BIO-BMB-BO415 escrito en btz_description_06 (element_id=361370) | hijo Project TE-FUEL-BMB-BO412 escrito en btz_description_07 (element_id=361370) | hijo Project TE-FUEL-BMB-BO413 escrito en btz_description_08 (element_id=361370) | hijo Project TE-BIO-BMB-BO411 escrito en btz_description_09 (element_id=361370) | hijo Project TE-LCT-BMB-BO104 escrito en btz_description_10 (element_id=361370) | hijo Project TE-BIO-BMB-BO110 escrito en btz_description_11 (element_id=361370) | hijo Project TE-BIO-BMB-BO111 escrito en btz_description_12 (element_id=361370) | hijo Project TE-BIO-BMB-BO112 escrito en btz_description_13 (element_id=361370),NO
318365,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004db9d,TE-BIO-TNQ-TK400,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK400,TE-ACT-VLV-TFPD6-12870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-VLV-TFPD6-12870 escrito en btz_description_05 (element_id=318365),NO
318340,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004db84,TE-BIO-TNQ-TK401,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK401,TE-ACT-VLV-TFPD6-11147,TE-ACT-VLV-TFPD6-11201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-VLV-TFPD6-11147 escrito en btz_description_05 (element_id=318340) | hijo Project TE-ACT-VLV-TFPD6-11201 escrito en btz_description_06 (element_id=318340),NO
171843,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029f43,TE-BIO-TNQ-TK402,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-BIO-TNQ-TK402,TE-ACT-LGC-SECTOR,TE-ACT-LGC-TANQUES,TE-ACT-VLV-TFPD6-11148,TE-ACT-VLV-TFPD6-11202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-LGC-SECTOR escrito en btz_description_05 (element_id=171843) | hijo Project TE-ACT-LGC-TANQUES escrito en btz_description_06 (element_id=171843) | hijo Project TE-ACT-VLV-TFPD6-11148 escrito en btz_description_07 (element_id=171843) | hijo Project TE-ACT-VLV-TFPD6-11202 escrito en btz_description_08 (element_id=171843),NO
171963,e873c32e-5e0c-4f36-b2a7-48d4917bce06-00029fbb,TE-FUEL-TNQ-TK403,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK403,TE-ACT-CCM-CCMAC,TE-ACT-MLC-MLC,TE-ACT-VLV-TFPD6-11199,TE-ACT-VLV-TFPD6-12867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-CCM-CCMAC escrito en btz_description_05 (element_id=171963) | hijo Project TE-ACT-MLC-MLC escrito en btz_description_06 (element_id=171963) | hijo Project TE-ACT-VLV-TFPD6-11199 escrito en btz_description_07 (element_id=171963) | hijo Project TE-ACT-VLV-TFPD6-12867 escrito en btz_description_08 (element_id=171963),NO
318484,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004dc14,TE-FUEL-TNQ-TK404,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK404,TE-ACT-VLV-TFPD6-12871,TE-ACT-VLV-TFPD6-12872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-VLV-TFPD6-12871 escrito en btz_description_05 (element_id=318484) | hijo Project TE-ACT-VLV-TFPD6-12872 escrito en btz_description_06 (element_id=318484),NO
318499,dc2f52e8-69c4-45c8-a7dd-658a902d58d3-0004dc23,TE-FUEL-TNQ-TK405,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES 400,TE-FUEL-TNQ-TK405,TE-ACT-VLV-TFPD6-12868,TE-ACT-VLV-TFPD6-12869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-VLV-TFPD6-12868 escrito en btz_description_05 (element_id=318499) | hijo Project TE-ACT-VLV-TFPD6-12869 escrito en btz_description_06 (element_id=318499),NO
196872,25d0f85d-57da-4cae-8ca2-9b682363407e-00030108,TE-ACT-TNQ-TK1,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK1,TE-ACT-VLV-TFPD-13783,TE-ACT-VLV-TFPD-13786,TE-ACT-TNQ-TK11,TE-BBR-BMB-DESAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-VLV-TFPD-13783 escrito en btz_description_05 (element_id=196872) | hijo Project TE-ACT-VLV-TFPD-13786 escrito en btz_description_06 (element_id=196872) | hijo Project TE-ACT-TNQ-TK11 escrito en btz_description_07 (element_id=196872) | hijo Project TE-BBR-BMB-DESAG escrito en btz_description_08 (element_id=196872),NO
196851,25d0f85d-57da-4cae-8ca2-9b682363407e-000300f3,TE-ACT-TNQ-TK2,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK2,TE-ACT-AGT-AG501,TE-ACT-LIN-LINEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-AGT-AG501 escrito en btz_description_05 (element_id=196851) | hijo Project TE-ACT-LIN-LINEA escrito en btz_description_06 (element_id=196851),NO
196891,25d0f85d-57da-4cae-8ca2-9b682363407e-0003011b,TE-ACT-TNQ-TK3,TE,TE-ACT-LGC-SECTOR ACEITE,TE-ACT-LGC-TANQUES ACEITE,TE-ACT-TNQ-TK3,TE-ACT-VLV-TFPD-11198,TE-ACT-VLV-TFPD-11200,TE-ACT-AGT-AG502,TE-GLC-LGC-BOMBAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,confirmado,confirmado_auto,match_directo confirmado desde Project/Revit | hijo Project TE-ACT-VLV-TFPD-11198 escrito en btz_description_05 (element_id=196891) | hijo Project TE-ACT-VLV-TFPD-11200 escrito en btz_description_06 (element_id=196891) | hijo Project TE-ACT-AGT-AG502 escrito en btz_description_07 (element_id=196891) | hijo Project TE-GLC-LGC-BOMBAS escrito en btz_description_08 (element_id=196891),NO
