estado_match,tipo_asociacion,codigo_project,descripcion_project,project_id,outline_level,outline_number,parent_task_name,parent_codigo_project,ancestor_codes_project,ancestor_names_project,project_path,element_id_revit,unique_id_revit,category,family,type,name,btz_numero_activo,btz_path_actual,parametro_match,contenedor_sugerido_element_id,contenedor_sugerido_unique_id,contenedor_sugerido_path,contenedor_sugerido_nivel,slots_libres_contenedor,requiere_split_por_slots,puntaje_contenedor,segundo_puntaje_contenedor,diferencia_puntaje,criterio_contenedor,candidatos_contenedor,ancestro_project_usado,observacion,tipo_resolucion,ancestro_usado,cluster_element_ids,element_id_destino,btz_slot_sugerido,cluster_mode,motivo,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,btz_description_31,btz_description_32,btz_description_33,btz_description_34,btz_description_35,btz_description_36,btz_description_37,btz_description_38,btz_description_39,btz_description_40,btz_description_41,btz_description_42,btz_description_43,btz_description_44,btz_description_45,btz_description_46,btz_description_47,btz_description_48,btz_description_49,btz_description_50,btz_description_51,btz_description_52,btz_description_53,btz_description_54,btz_description_55,btz_description_56,btz_description_57,btz_description_58,btz_description_59,btz_description_60,btz_description_61,btz_description_62,btz_description_63,btz_description_64,btz_description_65,btz_description_66,btz_description_67,btz_description_68,btz_description_69,btz_description_70,btz_description_71,btz_description_72,btz_description_73,btz_description_74,btz_description_75,btz_description_76,btz_description_77,btz_description_78,btz_description_79,btz_description_80,motivo_revision
sin_contenedor,sin_asociacion,TE-BBR-CNL-CANAL,CANAL PLUVIAL BAJO BARRANCA (COMPLETO) | Grupo: TE-CANAL PLUVIAL,91,4,91,TE-BBR-LGC-SECTOR BAJO  BARR,TE-BBR-LGC-SECTOR,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BBR-VLV-CLAP,CLAPETA EN CANAL PLUVIAL BAJO BARRANCA PREVIO A CÁMARA DECANTADORA NORTE. | Grupo: TE-VALVULA PLUVIAL,92,5,92,TE-BBR-CNL-CANAL PLUVIAL BBR,TE-BBR-CNL-CANAL,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR > TE-BBR-CNL-CANAL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR > TE-BBR-VLV-CLAP PLUV NORTE,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BBR-VLV-DESPURGUE,VALVULA DESPURGUE DE CÁMARA DECANTADORA NORTE | Grupo: TE-VALVULA PLUVIAL,93,5,93,TE-BBR-CNL-CANAL PLUVIAL BBR,TE-BBR-CNL-CANAL,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR > TE-BBR-CNL-CANAL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR > TE-BBR-VLV-DESPURGUE DCT NORTE,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BBR-VLV-EGRESO,VALVULA EGRESO DE CÁMARA DECANTADORA NORTE | Grupo: TE-VALVULA PLUVIAL,94,5,94,TE-BBR-CNL-CANAL PLUVIAL BBR,TE-BBR-CNL-CANAL,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR > TE-BBR-CNL-CANAL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR > TE-BBR-VLV-EGRESO DCT NORTE,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BBR-VLV-INGRESO,VALVULA INGRESO DE CÁMARA DECANTADORA NORTE | Grupo: TE-VALVULA PLUVIAL,95,5,95,TE-BBR-CNL-CANAL PLUVIAL BBR,TE-BBR-CNL-CANAL,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR > TE-BBR-CNL-CANAL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR > TE-BBR-VLV-INGRESO DCT NORTE,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BRR-VLV-VALV,VALVULA PLUVIAL EN EL PISO BAJO BARRANCA CENTRO | Grupo: TE-VALVULA PLUVIAL,96,5,96,TE-BBR-CNL-CANAL PLUVIAL BBR,TE-BBR-CNL-CANAL,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR > TE-BBR-CNL-CANAL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-CNL-CANAL PLUVIAL BBR > TE-BRR-VLV-VALV PLUVIAL CENTRO,,,,,,,,,,,,,,,,,,,,,,Código repetido en Project 3 veces. Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BBR-PLT-PILETA,PILETA DE DECANTACION | Grupo: TE-PLT PILETA DECANTA,99,4,99,TE-BBR-LGC-SECTOR BAJO  BARR,TE-BBR-LGC-SECTOR,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-PLT-PILETA DECANT,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-BBR-CMR-CAMARA,CAMARA DECANTADORA BAJO BARRANCA (DESGRASADORA) | Grupo: TE-CMR CAMARA DECANT,101,5,101,TE-BBR-PLT-PILETA DECANT,TE-BBR-PLT-PILETA,TE-ACT-LGC-SECTOR > TE-BBR-LGC-SECTOR > TE-BBR-PLT-PILETA,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-PLT-PILETA DECANT,TE > TE-ACT-LGC-SECTOR ACEITE > TE-BBR-LGC-SECTOR BAJO  BARR > TE-BBR-PLT-PILETA DECANT > TE-BBR-CMR-CAMARA DESGRAS,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-MDU-CSL-CASILLA,CASILLA VIGIA OPERADOR ACEITE AKZO NOBEL | Grupo: TE-CASILLA,126,4,126,TE-MDU-LGC-SECTOR AKZO NOBEL,TE-MDU-LGC-SECTOR,TE-ACT-LGC-SECTOR > TE-MDU-LGC-SECTOR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-MDU-LGC-SECTOR AKZO NOBEL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-MDU-LGC-SECTOR AKZO NOBEL > TE-MDU-CSL-CASILLA VIGIA OP,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
sin_contenedor,sin_asociacion,TE-MDU-CÑR-CAÑERIA,CAÑERIA ACEITES/BIODIESEL AKZO NOBEL | Grupo: TE-CAÑERÍA AKZO NOBEL,127,4,127,TE-MDU-LGC-SECTOR AKZO NOBEL,TE-MDU-LGC-SECTOR,TE-ACT-LGC-SECTOR > TE-MDU-LGC-SECTOR,TE > TE-ACT-LGC-SECTOR ACEITE > TE-MDU-LGC-SECTOR AKZO NOBEL,TE > TE-ACT-LGC-SECTOR ACEITE > TE-MDU-LGC-SECTOR AKZO NOBEL > TE-MDU-CÑR-CAÑERIA AKZO NOBE,,,,,,,,,,,,,,,,,,,,,,Ningún contenedor supera puntaje mínimo 40.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no se encontró contenedor compatible
