type_comments,workset,BTZ_Description_06,keynote,mark,comments,uniformat_description,macro_group,BTZ_Description_07,category_name,BTZ_Description_12,structural_usage,BTZ_Description,BTZ_Description_04,type_name,element_name,level_name,type_mark,BTZ_Description_03,BTZ_Description_08,group_key,BTZ_Description_09,BTZ_Description_01,BTZ_Description_13,element_id,family_name,BTZ_Description_05,BTZ_Description_11,host_category,uniformat_code,BTZ_Description_10,BTZ_Description_02,unique_id,structural_material,type_description
,Subproyecto1,,,,CIR_01_V01;CIR_01_V02;CIR_01_V03;CIR_01_V04;CIR_01_V05;CIR_01_V06;CIR_02_V01;CIR_02_V02;CIR_02_V03;CIR_03_V01;CIR_04_V01;CIR_05_V01;CIR_05_V02;CIR_05_V03;CIR_02_V04;CIR_02_V05;CIR_07_V03;CIR_08_V02;CIR_07_V02;CIR_08_V01;CIR_08_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,153694,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-0002585e,Plástico,
,Subproyecto1,,,,CIR_01_V01;CIR_01_V02;CIR_01_V03;CIR_01_V04;CIR_01_V05;CIR_01_V06;CIR_02_V01;CIR_02_V02;CIR_02_V03;CIR_03_V01;CIR_04_V01;CIR_05_V01;CIR_05_V02;CIR_05_V03;CIR_02_V04;CIR_02_V05;CIR_07_V03;CIR_08_V02;CIR_07_V01;CIR_07_V02;CIR_08_V01;CIR_08_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,153746,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-00025892,Plástico,
,Subproyecto1,,,,CIR_01_V01;CIR_01_V02;CIR_01_V03;CIR_01_V04;CIR_01_V05;CIR_01_V06;CIR_02_V01;CIR_02_V02;CIR_02_V03;CIR_03_V01;CIR_04_V01;CIR_05_V01;CIR_05_V02;CIR_05_V03;CIR_02_V04;CIR_02_V05;CIR_07_V03;CIR_08_V02;CIR_07_V01;CIR_07_V02;CIR_08_V01;CIR_08_V03,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,153786,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-000258ba,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,153887,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-0002591f,Plástico,
,Subproyecto1,,,,CIR_02_V04,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,154143,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-00025a1f,Plástico,
,Subproyecto1,,,,CIR_02_V04,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,154190,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-00025a4e,Plástico,
,Subproyecto1,,,,CIR_02_V04,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,154248,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-00025a88,Plástico,
,Subproyecto1,,,,,,obra_gris,,Walls,,,,,Genérico - 200 mm,Genérico - 200 mm,,,,,obra_gris|Walls||Genérico - 200 mm,,,,154300,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-00025abc,Plástico,
,Subproyecto1,,,,,,obra_gris,,Floors,,,,,Hormigón-362 mm comercial,Hormigón-362 mm comercial,Nivel 1,,,,obra_gris|Floors||Hormigón-362 mm comercial,,,,154367,,,,,,,,82c8d020-319f-497f-9fc2-75b239a7730f-00025aff,"Hormigón, moldeado in situ",
,Subproyecto1,,,,CIR_02_V04,,obra_gris,,Floors,,,,,Hormigón 160 mm con chapa grecada 50 mm,Hormigón 160 mm con chapa grecada 50 mm,Nivel 2,,,,obra_gris|Floors||Hormigón 160 mm con chapa grecada 50 mm,,,,154624,,,,,,,,1192f475-90fc-43d8-a4f8-29b11d73f723-00025c00,Nuevo material por defecto(1),
