group_key,macro_group,count,category_name,family_name,type_name,level_names,sample_element_ids
obra_gris|Floors|techo curvo|techo curvo,obra_gris,1,Floors,techo curvo,techo curvo,Nivel 1a,190078
obra_gris|Floors||Camino industrial,obra_gris,165,Floors,,Camino industrial,Nivel 1;TRAMOS,203772;205206;208220;209400;209580;209587;209594;209601;209608;209615;209622;209629;209636;210089;210096;210103;210124;210140;210147;210154;210161;210168;210175;210182;210189;210196;210264;211417;211498;211505;211512;211633;211734;211741;211748;211886;212702;212748;212755;212762;212769;212843;213103;213231;213238;213245;213373;213871;214046;214113
obra_gris|Floors||Hormigón 160 mm con chapa grecada 50 mm,obra_gris,1,Floors,,Hormigón 160 mm con chapa grecada 50 mm,Nivel 2,154624
obra_gris|Floors||Hormigón-362 mm comercial,obra_gris,1,Floors,,Hormigón-362 mm comercial,Nivel 1,154367
obra_gris|Floors||Natural,obra_gris,1,Floors,,Natural,Muro de cimentación T.O,214128
obra_gris|Walls||Genérico - 200 mm,obra_gris,167,Walls,,Genérico - 200 mm,,153694;153746;153786;153887;154143;154190;154248;154300;157168;157223;157285;157340;157486;157562;157672;157722;157821;157871;157928;157978;158105;158157;158243;158302;158492;158567;158642;158727;161063;161123;161192;161238;161360;161426;161516;161575;161691;161828;163663;163740;163996;164201;164427;164558;164840;164922;164973;165031;165098;165146
otros|Generic Models|Familia1|Familia1,otros,14,Generic Models,Familia1,Familia1,Muro de cimentación T.O;Nivel 1,343066;343145;343677;343933;344217;344452;344733;345035;345038;356166;356604;357054;357907;358391
otros|Generic Models|Modelos genéricos 10|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 10,Modelos genéricos 1,,175478
otros|Generic Models|Modelos genéricos 11|Modelos genéricos 11,otros,1,Generic Models,Modelos genéricos 11,Modelos genéricos 11,,182559
otros|Generic Models|Modelos genéricos 12|Modelos genéricos 12,otros,1,Generic Models,Modelos genéricos 12,Modelos genéricos 12,,183748
otros|Generic Models|Modelos genéricos 13|Modelos genéricos 12,otros,1,Generic Models,Modelos genéricos 13,Modelos genéricos 12,,184072
otros|Generic Models|Modelos genéricos 14|Modelos genéricos 14,otros,1,Generic Models,Modelos genéricos 14,Modelos genéricos 14,,184738
otros|Generic Models|Modelos genéricos 1|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 1,Modelos genéricos 1,,155128
otros|Generic Models|Modelos genéricos 2|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 2,Modelos genéricos 1,,156111
otros|Generic Models|Modelos genéricos 3|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 3,Modelos genéricos 1,,156127
otros|Generic Models|Modelos genéricos 4|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 4,Modelos genéricos 1,,156153
otros|Generic Models|Modelos genéricos 5|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 5,Modelos genéricos 1,,156169
otros|Generic Models|Modelos genéricos 6|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 6,Modelos genéricos 1,,156228
otros|Generic Models|Modelos genéricos 7|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 7,Modelos genéricos 1,,156246
otros|Generic Models|Modelos genéricos 8|Modelos genéricos 8,otros,1,Generic Models,Modelos genéricos 8,Modelos genéricos 8,,170794
otros|Generic Models|Modelos genéricos 9|Modelos genéricos 1,otros,1,Generic Models,Modelos genéricos 9,Modelos genéricos 1,,175553
