planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual
P10,DSC,DESCASCARADO,SECTOR,DESCASCARADO,P10-DSC-LGC-DESCASCARADO,BTZ_Description_02,P10-DSC-LGC-DESCASCARADO,,,
P10,ENE,TRAFOS,SECTOR,TRAFOS,P10-ENE-LGC-TRAFOS,BTZ_Description_02,P10-ENE-LGC-TRAFOS,,,
P10,EXT,EXTRACCION,SECTOR,EXTRACCION,P10-EXT-LGC-EXTRACCION,BTZ_Description_02,P10-EXT-LGC-EXTRACCION,,,
P10,GRL,CCM,SECTOR,CCM,P10-GRL-LGC-CCM,BTZ_Description_02,P10-GRL-LGC-CCM,,,
P10,GRL,MAQUINARIAS,SECTOR,MAQUINARIAS,P10-GRL-LGC-MAQUINARIAS,BTZ_Description_02,P10-GRL-LGC-MAQUINARIAS,,,
P10,HRN,HARINA,SECTOR,HARINA,P10-HRN-LGC-HARINA,BTZ_Description_02,P10-HRN-LGC-HARINA,,,
P10,PLL,PELLETERA,SECTOR,PELLETERA,P10-PLL-LGC-PELLETERA,BTZ_Description_02,P10-PLL-LGC-PELLETERA,,,
P10,PRL,PRELIMPIEZA,SECTOR,PRELIMPIEZA,P10-PRL-LGC-PRELIMPIEZA,BTZ_Description_02,P10-PRL-LGC-PRELIMPIEZA,,,
P10,PRP,PREPARACION,SECTOR,PREPARACION,P10-PRP-LGC-PREPARACION,BTZ_Description_02,P10-PRP-LGC-PREPARACION,,,
P10,RPS,REPUESTOS,SECTOR,REPUESTOS,P10-RPS-LGC-REPUESTOS,BTZ_Description_02,P10-RPS-LGC-REPUESTOS,,,
P10,SRV,SERVICIOS,SECTOR,SERVICIOS,P10-SRV-LGC-SERVICIOS,BTZ_Description_02,P10-SRV-LGC-SERVICIOS,,,
PP,AGR,AGREGADO,SECTOR,AGREGADO,PP-AGR-LGC-AGREGADO,BTZ_Description_02,PP-AGR-LGC-AGREGADO,,,
PP,ALM,ALMACENES,SECTOR,ALMACENES,PP-ALM-LGC-ALMACENES,BTZ_Description_02,PP-ALM-LGC-ALMACENES,,,
PP,CCM,SECTOR CCM,SECTOR,SECTOR CCM,PP-CCM-LGC-SECTOR CCM,BTZ_Description_02,PP-CCM-LGC-SECTOR CCM,,,
PP,DSC,DESCASCARADO,SECTOR,DESCASCARADO,PP-DSC-LGC-DESCASCARADO,BTZ_Description_02,PP-DSC-LGC-DESCASCARADO,,,
PP,ENE,TRAFOS,SECTOR,TRAFOS,PP-ENE-LGC-TRAFOS,BTZ_Description_02,PP-ENE-LGC-TRAFOS,,,
PP,EXT,EXTRACCION,SECTOR,EXTRACCION,PP-EXT-LGC-EXTRACCION,BTZ_Description_02,PP-EXT-LGC-EXTRACCION,,,
PP,GRN,GRANULADO,SECTOR,GRANULADO,PP-GRN-LGC-GRANULADO,BTZ_Description_02,PP-GRN-LGC-GRANULADO,,,
PP,HRN,HARINA,SECTOR,HARINA,PP-HRN-LGC-HARINA,BTZ_Description_02,PP-HRN-LGC-HARINA,,,
PP,LCT,LECITINA,SECTOR,LECITINA,PP-LCT-LGC-LECITINA,BTZ_Description_02,PP-LCT-LGC-LECITINA,,,
PP,PLL,PELLETERA,SECTOR,PELLETERA,PP-PLL-LGC-PELLETERA,BTZ_Description_02,PP-PLL-LGC-PELLETERA,,,
