archivo,raiz,descendientes,nodos_totales
01_PR_PLYMP_LGC_PLAYA_Y_MP.dot,PR-PLYMP-LGC-PLAYA Y MP,587,588
02_PR_GRS_LGC_GIRASOL.dot,PR-GRS-LGC-GIRASOL,392,393
03_PR_EXT2_LGC_EXTRACCION_2.dot,PR-EXT2-LGC-EXTRACCION 2,237,238
04_PR_PRP1_LGC_PREPARACION_1.dot,PR-PRP1-LGC-PREPARACION 1,233,234
05_PR_EXT1_LGC_EXTRACCION_1.dot,PR-EXT1-LGC-EXTRACCION 1,207,208
06_PR_LNT_LGC_LINTER.dot,PR-LNT-LGC-LINTER,160,161
07_PR_PRP2_LGC_PREPARACION_2.dot,PR-PRP2-LGC-PREPARACION 2,117,118
08_PR_PRP3_LGC_PREPARACION_3.dot,PR-PRP3-LGC-PREPARACION 3,117,118
09_PR_DSA_LGC_DESCASCARADO_ALGOD.dot,PR-DSA-LGC-DESCASCARADO ALGOD,110,111
10_PR_PLYSP_LGC_PLAYA_Y_SUB.dot,PR-PLYSP-LGC-PLAYA Y SUB,104,105
11_PR_VPR1_LGC_VAPOR_1.dot,PR-VPR1-LGC-VAPOR 1,100,101
12_PR_PDA_LGC_PLANTA_DE_AGUA.dot,PR-PDA-LGC-PLANTA DE AGUA,85,86
13_PR_AGR_LGC_REPROCESO.dot,PR-AGR-LGC-REPROCESO,74,75
14_PR_PRL3_LGC_PRELIMPIEZA_3.dot,PR-PRL3-LGC-PRELIMPIEZA 3,73,74
15_PR_VPR2_LGC_VAPOR2.dot,PR-VPR2-LGC-VAPOR2,61,62
16_PR_ACT_LGC_ACEITE.dot,PR-ACT-LGC-ACEITE,58,59
17_PR_ENR1_LGC_ENERGIA_1.dot,PR-ENR1-LGC-ENERGIA 1,49,50
18_PR_LAB_LGC_LABORATORIO.dot,PR-LAB-LGC-LABORATORIO,49,50
19_PR_TLLM_LGC_TALLER_MECANICO.dot,PR-TLLM-LGC-TALLER MECANICO,44,45
20_PR_EFL_LGC_EFLUENTES.dot,PR-EFL-LGC-EFLUENTES,39,40
21_PR_CCM_LGC_CCM.dot,PR-CCM-LGC-CCM,38,39
22_PR_PLL_LGC_PELLETEADO.dot,PR-PLL-LGC-PELLETEADO,34,35
23_PR_ENR2_LGC_ENERGIA_2.dot,PR-ENR2-LGC-ENERGIA 2,33,34
24_PR_HRN_LGC_HARINA.dot,PR-HRN-LGC-HARINA,33,34
25_PR_LCTS_LGC_LECITINA_SOJA.dot,PR-LCTS-LGC-LECITINA SOJA,31,32
26_PR_TLLOC_LGC_TALLER_OBRA_CIVIL.dot,PR-TLLOC-LGC-TALLER OBRA CIVIL,30,31
27_PR_REL_LGC_RED_ELECTRICA.dot,PR-REL-LGC-RED ELECTRICA,26,27
28_PR_PRD_LGC_PREDICTIVOS.dot,PR-PRD-LGC-PREDICTIVOS,20,21
29_PR_EXP_LGC_EXPEDICION.dot,PR-EXP-LGC-EXPEDICION,18,19
30_PR_PRL1_LGC_PRELIMPIEZA_1.dot,PR-PRL1-LGC-PRELIMPIEZA 1,18,19
31_PR_PRL2_LGC_PRELIMPIEZA_2.dot,PR-PRL2-LGC-PRELIMPIEZA 2,18,19
32_PR_SGI_LGC_SEGURIDAD_INDUST.dot,PR-SGI-LGC-SEGURIDAD INDUST,14,15
33_PR_ADM_LGC_AMINISTRACION.dot,PR-ADM-LGC-AMINISTRACION,12,13
34_PR_RAC_LGC_RED_AIRE_COMPRIMIDO.dot,PR-RAC-LGC-RED AIRE COMPRIMIDO,11,12
35_PR_TLLE_LGC_TALLER_ELECTRICO.dot,PR-TLLE-LGC-TALLER ELECTRICO,9,10
36_PR_ALM_LOG_ALMACEN_RICARDONE.dot,PR-ALM-LOG-ALMACEN RICARDONE,3,4
37_PR_SET_LGC_SET.dot,PR-SET-LGC-SET,3,4
38_PR_AGR_PLM_924K2.dot,PR-AGR-PLM-924K2,0,1
39_PR_LNT_RSC_T023_1.dot,PR-LNT-RSC-T023/1,0,1
40_PR_PLYMP_LGC_BASCULAS.dot,PR-PLYMP-LGC-BASCULAS,0,1
41_PR_PLYMP_SLO_DMP01.dot,PR-PLYMP-SLO-DMP01,0,1
42_PR_PLYMP_VNT_AIRS101.dot,PR-PLYMP-VNT-AIRS101,0,1
43_PR_PLYSP_TLV_CCC08.dot,PR-PLYSP-TLV-CCC08,0,1
44_PR_PLYSP_VLV_CCS08.dot,PR-PLYSP-VLV-CCS08,0,1
45_PR_RAC_CMP_S1675.dot,PR-RAC-CMP-S1675,0,1
46_PR_VPR2_FLT_EFO.dot,PR-VPR2-FLT-EFO,0,1
47_PR_VPR2_FLT_SFO.dot,PR-VPR2-FLT-SFO,0,1
