codigo,desc,parent,desc_count
PR-PLYMP-LGC-PLAYA Y MP,LOGICO PLAYA Y MATERIA PRIMA,PLANTA RICARDONE,587
PR-GRS-LGC-GIRASOL,LOGICO GIRASOL,PLANTA RICARDONE,392
PR-EXT2-LGC-EXTRACCION 2,LOGICO EXTRACCION 2,PLANTA RICARDONE,237
PR-PRP1-LGC-PREPARACION 1,LOGICO PREPARACION LINEA 1,PLANTA RICARDONE,233
PR-EXT1-LGC-EXTRACCION 1,LOGICO EXTRACCION 1,PLANTA RICARDONE,207
PR-LNT-LGC-LINTER,LOGICO LINTER,PLANTA RICARDONE,160
PR-PRP2-LGC-PREPARACION 2,LOGICO PREPARACION LINEA 2,PLANTA RICARDONE,117
PR-PRP3-LGC-PREPARACION 3,LOGICO PREPARACION LINEA 3,PLANTA RICARDONE,117
PR-DSA-LGC-DESCASCARADO ALGOD,LOGICO DESCASCARADO ALGODÓN,PLANTA RICARDONE,110
PR-PLYSP-LGC-PLAYA Y SUB,LOGICO PLAYA Y SUBPRODUCTO,PLANTA RICARDONE,104
PR-VPR1-LGC-VAPOR 1,LOGICO VAPOR 1,PLANTA RICARDONE,100
PR-PDA-LGC-PLANTA DE AGUA,LOGICO PLANTA DE AGUA,PLANTA RICARDONE,85
PR-AGR-LGC-REPROCESO,LOGICO REPROCESO,PLANTA RICARDONE,74
PR-PRL3-LGC-PRELIMPIEZA 3,LOGICO PRELIMPIEZA LINEA 3,PLANTA RICARDONE,73
PR-VPR2-LGC-VAPOR2,LOGICO VAPOR 2,PLANTA RICARDONE,61
PR-ACT-LGC-ACEITE,LOGICO ACEITE,PLANTA RICARDONE,58
PR-ENR1-LGC-ENERGIA 1,LOGICO ENERGIA 1,PLANTA RICARDONE,49
PR-LAB-LGC-LABORATORIO,LOGICO LABORATORIO,PLANTA RICARDONE,49
PR-TLLM-LGC-TALLER MECANICO,LOGICO TALLER MECANICO,PLANTA RICARDONE,44
PR-EFL-LGC-EFLUENTES,LOGICO EFLUENTES,PLANTA RICARDONE,39
PR-CCM-LGC-CCM,LOGICO CENTRO CONTROL DE MOTORES (CCM),PLANTA RICARDONE,38
PR-PLL-LGC-PELLETEADO,LOGICO PELLETEADO,PLANTA RICARDONE,34
PR-ENR2-LGC-ENERGIA 2,LOGICO ENERGIA 2,PLANTA RICARDONE,33
PR-HRN-LGC-HARINA,LOGICO HARINA,PLANTA RICARDONE,33
PR-LCTS-LGC-LECITINA SOJA,LOGICO LECITINA SOJA,PLANTA RICARDONE,31
PR-TLLOC-LGC-TALLER OBRA CIVIL,LOGICO TALLER OBRA CIVIL,PLANTA RICARDONE,30
PR-REL-LGC-RED ELECTRICA,LOGICO RED ELECTRICA,PLANTA RICARDONE,26
PR-PRD-LGC-PREDICTIVOS,LOGICO PREDICTIVOS,PLANTA RICARDONE,20
PR-EXP-LGC-EXPEDICION,LOGICO EXPEDICION,PLANTA RICARDONE,18
PR-PRL1-LGC-PRELIMPIEZA 1,LOGICO PRELIMPIEZA 1,PLANTA RICARDONE,18
PR-PRL2-LGC-PRELIMPIEZA 2,LOGICO PRELIMPIEZA 2,PLANTA RICARDONE,18
PR-SGI-LGC-SEGURIDAD INDUST,LOGICO SEGURIDAD INDUSTRIAL,PLANTA RICARDONE,14
PR-ADM-LGC-AMINISTRACION,LOGICO ADMINISTRACION,PLANTA RICARDONE,12
PR-RAC-LGC-RED AIRE COMPRIMIDO,LOGICO RED AIRE COMPRIMIDO,PLANTA RICARDONE,11
PR-TLLE-LGC-TALLER ELECTRICO,LOGICO TALLER ELECTRICO,PLANTA RICARDONE,9
PR-ALM-LOG-ALMACEN RICARDONE,LOGICO ALMACEN RICARDONE,PLANTA RICARDONE,3
PR-SET-LGC-SET,LOGICO SUB ESTACION TRANSFORMADORA,PLANTA RICARDONE,3
PR-AGR-PLM-924K2,PALA MECANICA CATERPILLAR 924K Nº2 (CAT0924KVKW401288),,0
PR-CCM-CCM-VPR2,CCM VAPOR 2,PR-CCM-LGC-VAPOR2,0
PR-LNT-RSC-T023/1,ROSCA T023/1,,0
PR-PLYMP-LGC-BASCULAS,LOGICO BASCULAS,,0
PR-PLYMP-SLO-DMP01,SILO CELDA DEP. M. P. Nº 1,,0
PR-PLYMP-VNT-AIRS101,VENTILADOR Nº 1 AIREACION S-1,,0
PR-PLYSP-TLV-CCC08,TOLVA CARGA DE CAMIONES CELDA 08,,0
PR-PLYSP-VLV-CCS08,VALVULA TOLVA CARGA S-08,,0
PR-RAC-CMP-S1675,COMPRESOR SULLAIR MOD. 16/75,,0
PR-VPR2-FLT-EFO,FILTROS ENTRADA FUEL-OIL,,0
PR-VPR2-FLT-SFO,FILTROS SALIDA FUEL-OIL,,0
