planta_codigo,sector_codigo,sector_nombre,nivel_manual,nombre_visible,codigo_lgc,description_destino,codigo_sector_lgc,codigo_subsector_lgc,codigo_unidad_manual,nombre_unidad_manual,codigo_fuente_excel,descripcion_fuente_excel,regla_generacion
PR,PLYMP,PLAYA Y MATERIA PRIMA,SECTOR,PLAYA Y MATERIA PRIMA,PR-PLYMP-LGC-PLAYA Y MP,BTZ_Description_02,PR-PLYMP-LGC-PLAYA Y MP,,,,PR-PLYMP-LGC-PLAYA Y MP,LOGICO PLAYA Y MATERIA PRIMA,SECTOR_DESDE_RAIZ_PR
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,CALADO ACEITE,PR-PLYMP-LGC-CALADO ACEITE,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADO ACEITE,,,PR-PLYMP-LGC-CALADO ACEITE,LOGICO CALADO ACEITE,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,CALADORES,PR-PLYMP-LGC-CALADORES,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,,,PR-PLYMP-LGC-CALADORES,LOGICO CALADORES,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,SCAL,PR-PLYMP-BMB-SCAL,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-BMB-SCAL,BOMBA SOPLANTE CALADORES,PR-PLYMP-BMB-SCAL,BOMBA SOPLANTE CALADORES,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CLD1,PR-PLYMP-CNT-CLD1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-CNT-CLD1,CINTA TRANSP. PORTATIL 1 CALADO,PR-PLYMP-CNT-CLD1,CINTA TRANSP. PORTATIL 1 CALADO,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CLD2,PR-PLYMP-CNT-CLD2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-CNT-CLD2,CINTA TRANSP. PORTATIL 2 CALADO,PR-PLYMP-CNT-CLD2,CINTA TRANSP. PORTATIL 2 CALADO,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CLD3,PR-PLYMP-CNT-CLD3,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CALADORES,PR-PLYMP-CNT-CLD3,CINTA TRANSP. PORTATIL 3 CALADO,PR-PLYMP-CNT-CLD3,CINTA TRANSP. PORTATIL 3 CALADO,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,CINTAS TRANSPORTADORAS PLYMP,PR-PLYMP-LGC-CINTAS TRANSP,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CINTAS TRANSP,,,PR-PLYMP-LGC-CINTAS TRANSP,LOGICO CINTAS TRANSPORTADORAS PLYMP,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CRU2,PR-PLYMP-CNT-CRU2,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CINTAS TRANSP,PR-PLYMP-CNT-CRU2,CINTA TRANSP. CRUCERO 2,PR-PLYMP-CNT-CRU2,CINTA TRANSP. CRUCERO 2,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,CSG3,PR-PLYMP-CNT-CSG3,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-CINTAS TRANSP,PR-PLYMP-CNT-CSG3,CINTA TRANSP. CSG-3,PR-PLYMP-CNT-CSG3,CINTA TRANSP. CSG-3,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,SUBSECTOR,NORIAS PLYMP,PR-PLYMP-LGC-NORIAS,BTZ_Description_03,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,,,PR-PLYMP-LGC-NORIAS,LOGICO NORIAS PLYMP,SUBSECTOR_DESDE_HIJO_LGC_O_NODO_INTERMEDIO
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N02,PR-PLYMP-NOR-N02,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N02,NORIA N-02,PR-PLYMP-NOR-N02,NORIA N-02,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N03,PR-PLYMP-NOR-N03,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N03,NORIA N-03,PR-PLYMP-NOR-N03,NORIA N-03,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N04,PR-PLYMP-NOR-N04,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N04,NORIA N-04,PR-PLYMP-NOR-N04,NORIA N-04,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N05,PR-PLYMP-NOR-N05,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N05,NORIA N-05,PR-PLYMP-NOR-N05,NORIA N-05,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N06,PR-PLYMP-NOR-N06,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N06,NORIA N-06,PR-PLYMP-NOR-N06,NORIA N-06,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N07PTV1,PR-PLYMP-NOR-N07PTV1,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N07PTV1,NORIA N-07 PTV Nº 1,PR-PLYMP-NOR-N07PTV1,NORIA N-07 PTV Nº 1,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N10/APTV6,PR-PLYMP-NOR-N10/APTV6,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N10/APTV6,NORIA N-10/A PTV Nº 6 SV K.W. <N>,PR-PLYMP-NOR-N10/APTV6,NORIA N-10/A PTV Nº 6 SV K.W. <N>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N10PTV6,PR-PLYMP-NOR-N10PTV6,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N10PTV6,NORIA N-10 PTV Nº 6 SV K.W. <S>,PR-PLYMP-NOR-N10PTV6,NORIA N-10 PTV Nº 6 SV K.W. <S>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N11PTV7,PR-PLYMP-NOR-N11PTV7,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N11PTV7,NORIA N-11 PTV Nº 7 SV K.W. <N>,PR-PLYMP-NOR-N11PTV7,NORIA N-11 PTV Nº 7 SV K.W. <N>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N12PTV8,PR-PLYMP-NOR-N12PTV8,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N12PTV8,NORIA N-12 PTV Nº 8,PR-PLYMP-NOR-N12PTV8,NORIA N-12 PTV Nº 8,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N13SCH,PR-PLYMP-NOR-N13SCH,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N13SCH,NORIA N-13 <NORTE A SILOS CHIEF>,PR-PLYMP-NOR-N13SCH,NORIA N-13 <NORTE A SILOS CHIEF>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N14SCH,PR-PLYMP-NOR-N14SCH,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N14SCH,NORIA N-14 <SUR A SILOS CHIEF>,PR-PLYMP-NOR-N14SCH,NORIA N-14 <SUR A SILOS CHIEF>,UNIDAD_HOJA_BAJO_SUBSECTOR
PR,PLYMP,PLAYA Y MATERIA PRIMA,UNIDAD,N15,PR-PLYMP-NOR-N15,BTZ_Description_04,PR-PLYMP-LGC-PLAYA Y MP,PR-PLYMP-LGC-NORIAS,PR-PLYMP-NOR-N15,NORIA N-15 PTV Nº 9 <E>,PR-PLYMP-NOR-N15,NORIA N-15 PTV Nº 9 <E>,UNIDAD_HOJA_BAJO_SUBSECTOR
